年份,性別,姓名,專長,備註
"104年","女","陳昭姿","藥事溝通技巧、藥品分級制度、醫院藥局管理","召集人"
"104年","男","劉文雄","藥物經濟學、藥學管理、藥物流行病學、醫院管理","副召集人"
"104年","女","王四切","有機化學、藥物分析、藥事照護、藥事通路",""
"104年","男","王宏育","一般內兒科",""
"104年","男","古博仁","非處方藥品管理",""
"104年","男","朱家祥","一般兒科、小兒科學、小兒腸胃學",""
"104年","女","沈采穎","社會藥學、民眾用藥知識宣導、非處方藥品管理",""
"104年","女","沈麗娟","藥物基因學、新藥開發與傳遞、臨床藥學",""
"104年","男","李世代","社區醫學、保健醫學、臨床用藥",""
"104年","女","胡芳蓉","角結膜疾病、雷射近視手術、白內障手術",""
"104年","女","高雅慧","臨床藥學、藥品資訊分析、藥事行政",""
"104年","男","許光陽","藥劑學、生物藥劑學、藥物動力學、藥物血中濃度偵測",""
"104年","女","黃耀斌","生物藥劑學、藥物動力學、藥物劑型設計及評估",""
"104年","男","黃鈺生","藥政管理、消費者權益",""
"104年","男","黃敏偉","憂鬱症防治、自殺預防、藥酒癮戒治、重大精神疾病、精神官能症、身心症",""
"104年","男","葉國偉","過敏防治與篩檢、過敏性鼻炎、氣喘診治與教育",""
"104年","女","楊佳懿","一般皮膚病、皮膚過敏、皮膚感染",""
"104年","男","謝右文","藥劑學、醫院藥局實務",""
