年份,職稱,姓名,性別,專長,備註
"104","召集人","毛蓓領","女","內科學、臨床藥學、老人醫學",""
"104","副召集人","陳建煒","男","流行病學、藥物安全監視",""
"104","委員","王治元","男","腦下垂體疾病、腎上腺功能異常、甲狀腺疾病、副甲狀腺疾病、糖尿病及相關病發症",""
"104","委員","王春玉","女","臨床藥學",""
"104","委員","何志明","男","婦科腫瘤及婦科癌症、婦科癌症手術及化學治療",""
"104","委員","李善敬","男","腦血管疾病、周邊神經病變、肌肉及肌筋膜疼痛症",""
"104","委員","沈麗娟","女","臨床藥學、藥物基因體學、大分子藥物遞送",""
"104","委員","林美淑","女","臨床藥學",""
"104","委員","林敏雄","男","內科學、臨床藥學",""
"104","委員","柯博升","男","白血病、血液腫瘤",""
"104","委員","陳立群","男","各式感染症、不明熱",""
"104","委員","彭純芝","女","一般兒童內科、新生兒疾病、呼吸系統疾病",""
"104","委員","黃以信","男","肝膽腸胃",""
"104","委員","黃婉翠","女","臨床藥學、藥事照顧",""
"104","委員","黃鈺生","男","藥政管理、消費者保護",""
"104","委員","楊振昌","男","藥物流行病學、流行病學、臨床毒物學、環境暨職業醫學、內科學",""
"104","委員","廖朝崧","男","心臟內科學；介入性心血管疾病診斷及治療",""
"104","委員","劉興璟","男","血液醫學",""
"104","委員","蕭斐元","女","藥物流行病學、藥事經濟學、健康照護研究",""
"103","","毛蓓領","女","內科學、臨床藥學、老人醫學","主任委員"
"103","","陳建煒","男","流行病學、藥物安全監視","副主任委員"
"103","","劉興璟","男","血液醫學",""
"103","","林敏雄","男","臨床藥理、內科學",""
"103","","陳芳祝","女","呼吸生理、胸腔內科、睡眠醫學",""
"103","","李善敬","男","腦血管疾病、周邊神經病變、肌肉及肌筋膜疼痛症",""
"103","","黃婉翠","女","臨床藥學、藥事照顧、藥學、藥物資訊調劑學",""
"103","","柯博升","男","白血病、淋巴瘤、血液腫瘤",""
"103","","黃以信","男","肝膽腸胃",""
"103","","陳立群","男","各式感染症、不明熱",""
"103","","林慧玲","女","藥品不良反應、藥事服務",""
"103","","王春玉","女","臨床藥學",""
"103","","蕭斐元","女","藥物流行病學、藥事經濟學、健康照護研究",""
"103","","黃鈺生","男","藥政管理、消費者保護",""
"103","","陳映燁","女","精神科",""
"103","","郭熙文","男","內科學、內分泌",""
"103","","陳政宏","男","風濕免疫科",""
"102","","毛蓓領","女","內科學、臨床藥學、老人醫學","主任委員"
"102","","劉興璟","男","血液醫學","副主任委員"
"102","","林敏雄","男","臨床藥理、內科學",""
"102","","陳芳祝","女","呼吸生理、胸腔內科、睡眠醫學",""
"102","","李善敬","男","腦血管疾病、周邊神經病變、肌肉及肌筋膜疼痛症",""
"102","","蔡呈芳","男","皮膚生理、皮膚藥理、乾癬",""
"102","","高雅慧","女","臨床藥學、藥物流病學、成效研究",""
"102","","黃婉翠","女","臨床藥學、藥事照顧、藥學、藥物資訊調劑學",""
"102","","廖朝崧","男","心臟內科學、介入性心血管疾病診斷及治療",""
"102","","柯博升","男","白血病、淋巴瘤、血液腫瘤",""
"102","","蔡長祐","男","過敏免疫疾病、風濕病、家庭醫學、狼瘡疾病基礎免疫研究",""
"102","","曾芬郁","女","內分泌疾病、糖尿病及其他代謝疾病",""
"102","","黃以信","男","肝膽腸胃",""
"102","","陳立群","男","各式感染症、不明熱",""
"102","","張景瑞","男","老年精神疾病、精神分裂症、躁鬱症",""
"102","","林慧玲","女","移植藥學、療劑監測、藥品不良反應、藥事服務",""
"102","","陳建煒","男","流行病學",""
