年份,職稱,姓名,性別,專長
"104-106","召集人","康照洲","男","食品藥物管理、食品藥物安全性、毒 性測試"
"104-106","副召集人","蕭介夫","男","生物科技、食品生技、生物催化"
"104-106","委員","江伯倫","男","細胞和分子免疫學、過敏免疫學、風濕疾病、免疫調控"
"104-106","委員","余淑美","女","植物分子生物學、植物功能性基因體研究、植物生物科技、植物病理學"
"104-106","委員","吳金洌","男","海洋分子生物學、魚類分子病毒學、海洋生物技術、基因工程學"
"104-106","委員","倪貴榮","男","國際經貿法、環境法、國際生物科技法律、食品安全法律"
"104-106","委員","張素瓊","女","分子營養學、營養基因體學、食品生化學、細胞訊息調控"
"104-106","委員","許庭禎","男","食品加工、食品化學、食品添加物"
"104-106","委員","楊培侃","男","國際經貿法、國際衛生法、食品安全與衛生法"
"104-106","委員","劉祖惠","女","植物生物技術、基因轉殖、生技醫藥產業分析與政策研議"
"104-106","委員","劉麗飛","女","水稻基因工程、作物生產、健康飲食"
"104-106","委員","潘子明","男","生物技術、食品安全"
"104-106","委員","蔡肇基","男","過敏疾病研究與治療、免疫疾病、風濕疾病診療"
"104-106","委員","鄭幼文","女","食品毒理、毒性試驗、風險評估"
"104-106","委員","盧虎生","男","作物學、作物分子生物學、作物生理學"
"104-106","委員","羅慧珍","女","腸道及靜脈營養、胺基酸代謝、代謝症候群、保健食品"
