標題,連結,發布日期
"＂美敦力＂浪曲導引導管回收訊息","http://www.fda.gov.tw/TC/siteListContent.aspx?sid=4275&id=10226","2014-12-03"
"“拉吉士” 內視鏡器械-拋棄式抓取鉗 回收公告","http://www.fda.gov.tw/TC/siteListContent.aspx?sid=4275&id=10228","2014-12-04"
"“百歐森偉伯司特”灌注冷卻式速秒特觸雙向導航導管安全警訊","http://www.fda.gov.tw/TC/siteListContent.aspx?sid=4275&id=10233","2014-12-04"
"心臟標誌免疫分析用品管液 – 液狀 回收公告","http://www.fda.gov.tw/TC/siteListContent.aspx?sid=4275&id=10234","2014-12-03"
"“費雪派克”克斯可特新生兒保溫器 安全警訊","http://www.fda.gov.tw/TC/siteListContent.aspx?sid=4275&id=10235","2014-12-03"
"“伯瑞” 多工影像化系統 安全警訊","http://www.fda.gov.tw/TC/siteListContent.aspx?sid=4275&id=10236","2014-12-03"
"“紅喜”血醣測量儀試片 回收公告","http://www.fda.gov.tw/TC/siteListContent.aspx?sid=4275&id=10237","2014-12-03"
"＂信迪思＂ 骨科手術鑽頭 回收警訊","http://www.fda.gov.tw/TC/siteListContent.aspx?sid=4275&id=10238","2014-12-03"
"“愛爾康”愛復明超音波手術配件包 安全警訊","http://www.fda.gov.tw/TC/siteListContent.aspx?sid=4275&id=10239","2014-12-24"
"“雷度”動脈血液取樣組(滅菌) 安全警訊","http://www.fda.gov.tw/TC/siteListContent.aspx?sid=4275&id=10240","2014-12-24"
"“愛克發”數位X光影像系統 安全警訊","http://www.fda.gov.tw/TC/siteListContent.aspx?sid=4275&id=10241","2014-12-24"
"＂飛利浦＂核醫/電腦斷層系統 安全警訊","http://www.fda.gov.tw/TC/siteListContent.aspx?sid=4275&id=10242","2014-12-24"
"＂飛利浦＂核醫影像系統 安全警訊","http://www.fda.gov.tw/TC/siteListContent.aspx?sid=4275&id=10243","2014-12-24"
"“必帝”注射筒 回收訊息","http://www.fda.gov.tw/TC/siteListContent.aspx?sid=4275&id=10281","2014-09-12"
"“亞培” m24檢體處理系統 安全警訊","http://www.fda.gov.tw/TC/siteListContent.aspx?sid=4275&id=10282","2014-09-01"
"“西門子”數位式診斷X光系統 安全警訊","http://www.fda.gov.tw/TC/siteListContent.aspx?sid=4275&id=10283","2014-09-01"
"＂德塔斯＂ 主動脈氣球導管幫浦 安全警訊","http://www.fda.gov.tw/TC/siteListContent.aspx?sid=4275&id=10284","2014-09-12"
"＂赫士睿＂ 寶星輸液暨疼痛處理幫浦 安全警訊","http://www.fda.gov.tw/TC/siteListContent.aspx?sid=4275&id=10285","2014-11-11"
"＂赫士睿＂ 寶星輸液暨疼痛處理幫浦 安全警訊","http://www.fda.gov.tw/TC/siteListContent.aspx?sid=4275&id=10286","2014-11-11"
"＂磊仕＂連續式呼吸器 安全警訊","http://www.fda.gov.tw/TC/siteListContent.aspx?sid=4275&id=10287","2014-11-11"
"＂柯惠＂ 肯特利柯登斯去顫器電極貼片 安全警訊","http://www.fda.gov.tw/TC/siteListContent.aspx?sid=4275&id=10288","2014-11-05"
"＂歐敏思＂ 壓力調節器(未滅菌) 安全警訊","http://www.fda.gov.tw/TC/siteListContent.aspx?sid=4275&id=10289","2014-11-05"
"“愛德華”左心室用導管 安全警訊","http://www.fda.gov.tw/TC/siteListContent.aspx?sid=4275&id=10291","2014-10-31"
"禮亞尚 甲狀腺球蛋白檢測試劑組 回收公告","http://www.fda.gov.tw/TC/siteListContent.aspx?sid=4275&id=10292","2014-10-31"
"BD腸球菌篩選培養基 回收公告","http://www.fda.gov.tw/TC/siteListContent.aspx?sid=4275&id=10293","2014-10-31"
"＂柯特曼＂體外引流系統 回收公告","http://www.fda.gov.tw/TC/siteListContent.aspx?sid=4275&id=10294","2014-10-27"
"“亞培” Architect I System - Total T3 Assay (總三碘甲狀腺素檢驗試劑組) 回收公告","http://www.fda.gov.tw/TC/siteListContent.aspx?sid=4275&id=10295","2014-10-27"
"3M 透明敷料(滅菌) 回收訊息","http://www.fda.gov.tw/TC/siteListContent.aspx?sid=4275&id=10296","2014-10-27"
"斯高比歐股骨組件 回收公告","http://www.fda.gov.tw/TC/siteListContent.aspx?sid=4275&id=10297","2014-10-27"
"“巴德”DuaLok 乳房定位針 回收訊息","http://www.fda.gov.tw/TC/siteListContent.aspx?sid=4275&id=10298","2014-10-27"
"“捷邁” 皮富捷髕骨股骨人工關節 回收訊息","http://www.fda.gov.tw/TC/siteListContent.aspx?sid=4275&id=10299","2014-10-27"
"＂柯惠＂奈普特呼吸器 安全警訊","http://www.fda.gov.tw/TC/siteListContent.aspx?sid=4275&id=10300","2014-10-17"
"“飛利浦” 自動體外心臟去纖維顫動器 安全警訊","http://www.fda.gov.tw/TC/siteListContent.aspx?sid=4275&id=10301","2014-09-30"
"“聖猷達”依利普植入式心律去顫器 安全警訊","http://www.fda.gov.tw/TC/siteListContent.aspx?sid=4275&id=10302","2014-09-30"
"＂醫科達＂數位式直線加速器 安全警訊","http://www.fda.gov.tw/TC/siteListContent.aspx?sid=4275&id=10303","2014-09-30"
"＂西門子＂ 單光子放射/電腦斷層掃描儀 安全警訊","http://www.fda.gov.tw/TC/siteListContent.aspx?sid=4275&id=10304","2014-09-26"
"美艾利爾揣耶濟　B型鈉尿縮氨酸檢測試劑（貝克曼庫爾特）回收警訊","http://www.fda.gov.tw/TC/siteListContent.aspx?sid=4275&id=10305","2014-09-26"
"＂西門子＂ 超靈敏 心肌鈣蛋白試劑 安全警訊","http://www.fda.gov.tw/TC/siteListContent.aspx?sid=4275&id=10306","2014-09-26"
"美艾利爾揣耶濟　B型鈉尿縮氨酸檢測試劑（貝克曼庫爾特）回收警訊","http://www.fda.gov.tw/TC/siteListContent.aspx?sid=4275&id=10307","2014-09-26"
"“史賽克”切割附件 (滅菌) 回收警訊","http://www.fda.gov.tw/TC/siteListContent.aspx?sid=4275&id=10308","2014-09-26"
"＂飛利浦＂醫療影像傳輸、處理暨儲存系統 安全警訊","http://www.fda.gov.tw/TC/siteListContent.aspx?sid=4275&id=10309","2014-09-05"
"＂飛利浦＂放射治療模擬計畫系統 安全警訊","http://www.fda.gov.tw/TC/siteListContent.aspx?sid=4275&id=10310","2014-09-05"
"“史賽克”超音波手術裝置 安全警訊","http://www.fda.gov.tw/TC/siteListContent.aspx?sid=4275&id=10311","2014-09-05"
"“羅氏”血液氣體電解質分析儀 cobas b 221 安全警訊","http://www.fda.gov.tw/TC/siteListContent.aspx?sid=4275&id=10312","2014-09-05"
"“史賽克”動力式可調整式病床(未滅菌) 安全警訊","http://www.fda.gov.tw/TC/siteListContent.aspx?sid=4275&id=10313","2014-09-05"
"＂康美＂ 電極迴路板 安全警訊","http://www.fda.gov.tw/TC/siteListContent.aspx?sid=4275&id=10314","2014-09-05"
"＂飛利浦＂核醫/電腦斷層系統 安全警訊","http://www.fda.gov.tw/TC/siteListContent.aspx?sid=4275&id=10319","2014-08-29"
"＂西美＂人工膝關節 回收警訊","http://www.fda.gov.tw/TC/siteListContent.aspx?sid=4275&id=10320","2014-08-29"
"“彼得斯外科”卡蒂席爾外科縫合線 安全警訊","http://www.fda.gov.tw/TC/siteListContent.aspx?sid=4275&id=10321","2014-08-29"
"＂信迪思＂ 骨螺釘植入物 回收警訊","http://www.fda.gov.tw/TC/siteListContent.aspx?sid=4275&id=10322","2014-08-29"
"“美敦力”手術導航系統/脊椎導航手術用器械/顱內導航手術用器械 回收警訊","http://www.fda.gov.tw/TC/siteListContent.aspx?sid=4275&id=10323","2014-08-29"
"＂韋倫＂攜帶式生理監視器 安全警訊","http://www.fda.gov.tw/TC/siteListContent.aspx?sid=4275&id=10324","2014-08-29"
"“百特”迷你帽（含優碘溶液）回收警訊","http://www.fda.gov.tw/TC/siteListContent.aspx?sid=4275&id=10325","2014-08-29"
"＂愛德華＂芬-弗列克 股動/動脈導管及導引管組 肝素塗層股動靜脈導管 回收警訊","http://www.fda.gov.tw/TC/siteListContent.aspx?sid=4275&id=10326","2014-08-29"
"“維特司”生化產品FS稀釋組3號(特殊稀釋液/水) 回收警訊","http://www.fda.gov.tw/TC/siteListContent.aspx?sid=4275&id=10327","2014-08-29"
"“衛寶”Ultrafilter U9000 安全警訊","http://www.fda.gov.tw/TC/siteListContent.aspx?sid=4275&id=10328","2014-08-14"
"＂維特司＂ 腫瘤抗原CA 19-9免疫檢測試劑組 回收訊息","http://www.fda.gov.tw/TC/siteListContent.aspx?sid=4275&id=10329","2014-08-14"
"＂美敦力＂來沛去顫器 安全警訊","http://www.fda.gov.tw/TC/siteListContent.aspx?sid=4275&id=10330","2014-08-14"
"亞培 m2000sp 全自動檢體處理系統 (未滅菌) 安全警訊","http://www.fda.gov.tw/TC/siteListContent.aspx?sid=4275&id=10331","2014-08-14"
"＂萬力＂直線加速器 安全警訊","http://www.fda.gov.tw/TC/siteListContent.aspx?sid=4275&id=10332","2014-08-14"
"＂飛利浦＂醫療影像傳輸、處理暨儲存系統安全警訊","http://www.fda.gov.tw/TC/siteListContent.aspx?sid=4275&id=10361","2014-07-31"
"羅氏免疫分析愛滋病毒抗原抗體合一試劑安全警訊","http://www.fda.gov.tw/TC/siteListContent.aspx?sid=4275&id=10430","2014-07-31"
"＂柯惠＂奈普特呼吸器安全警訊","http://www.fda.gov.tw/TC/siteListContent.aspx?sid=4275&id=10431","2014-07-31"
"英傑核酸引子式低解析人類白血球抗原第二型分型試驗系統安全警訊","http://www.fda.gov.tw/TC/siteListContent.aspx?sid=4275&id=10432","2014-07-31"
"羅氏血液氣體電解質分析儀可霸斯安全警訊","http://www.fda.gov.tw/TC/siteListContent.aspx?sid=4275&id=10433","2014-07-31"
"美艾利爾揣耶濟-毒物藥物篩檢安全警訊","http://www.fda.gov.tw/TC/siteListContent.aspx?sid=4275&id=10434","2014-07-31"
"＂亞培＂ 利舒坦血糖檢測系統安全警訊","http://www.fda.gov.tw/TC/siteListContent.aspx?sid=4275&id=10435","2014-07-31"
"“克瑞帝”瑞康第三代眼科攝影系統、“克瑞帝”瑞康眼科攝影系統安全警訊","http://www.fda.gov.tw/TC/siteListContent.aspx?sid=4275&id=10436","2014-07-31"
"＂美敦力＂匹斯四極導管等安全警訊","http://www.fda.gov.tw/TC/siteListContent.aspx?sid=4275&id=10437","2014-07-31"
"“美敦力”體外神經刺激器等安全警訊","http://www.fda.gov.tw/TC/siteListContent.aspx?sid=4275&id=10438","2014-07-31"
"“美敦力”新可美輸注系統安全警訊","http://www.fda.gov.tw/TC/siteListContent.aspx?sid=4275&id=10439","2014-07-31"
"羅氏免疫分析愛滋病毒抗原抗體合一試劑安全警訊（更新訊息）","http://www.fda.gov.tw/TC/siteListContent.aspx?sid=4275&id=10440","2014-07-31"
"＂羅氏＂ 臨床使用微量化學分析儀 (未滅菌)安全警訊","http://www.fda.gov.tw/TC/siteListContent.aspx?sid=4275&id=10441","2014-07-31"
"＂美敦力＂ 內視鏡清晰系統安全警訊","http://www.fda.gov.tw/TC/siteListContent.aspx?sid=4275&id=10442","2014-07-31"
"“美敦力”迷你美波立得胰島素幫浦、“美敦力迷你美”體外胰島素幫浦安全警訊","http://www.fda.gov.tw/TC/siteListContent.aspx?sid=4275&id=10443","2014-07-31"
"＂雷佛一＂ 輸血輸液加溫套管回收警訊","http://www.fda.gov.tw/TC/siteListContent.aspx?sid=4275&id=10444","2014-07-31"
"＂百特＂ 自動腹膜透析系統、＂百特＂ 智慧型全自動腹膜透析機安全警訊","http://www.fda.gov.tw/TC/siteListContent.aspx?sid=4275&id=10445","2014-07-31"
"舒克週邊置入中心靜脈導管回收警訊","http://www.fda.gov.tw/TC/siteListContent.aspx?sid=4275&id=10446","2014-07-31"
"“維特司”生化產品FS稀釋組3號(特殊稀釋液/水)回收警訊","http://www.fda.gov.tw/TC/siteListContent.aspx?sid=4275&id=10447","2014-07-31"
"“史賽克”電動式外科手術抬懸臂 (未滅菌)回收警訊","http://www.fda.gov.tw/TC/siteListContent.aspx?sid=4275&id=10448","2014-07-31"
"羅氏全方位血糖機組安全警訊","http://www.fda.gov.tw/TC/siteListContent.aspx?sid=4275&id=10449","2014-07-31"
"＂費雪派克＂ 正壓呼吸輔助系統安全警訊","http://www.fda.gov.tw/TC/siteListContent.aspx?sid=4275&id=10450","2014-07-31"
"＂博醫來＂ 病患位置標定系統安全警訊","http://www.fda.gov.tw/TC/siteListContent.aspx?sid=4275&id=10451","2014-07-31"
"＂巫諾＂ 導尿管回收警訊","http://www.fda.gov.tw/TC/siteListContent.aspx?sid=4275&id=10452","2014-07-31"
"“西門子”數位式診斷X光系統安全警訊","http://www.fda.gov.tw/TC/siteListContent.aspx?sid=4275&id=10453","2014-07-31"
"“奇異”核磁共振掃瞄裝置、“奇異”核磁共振掃描系統安全警訊","http://www.fda.gov.tw/TC/siteListContent.aspx?sid=4275&id=10454","2014-07-31"
"＂康美＂ 電極迴路板安全警訊","http://www.fda.gov.tw/TC/siteListContent.aspx?sid=4275&id=10455","2014-07-31"
