年份,職稱,姓名,性別,專長
"103-104","召集人","胡幼圃","男","藥學"
"103-104","副召集人","江孟燦","男","食品科學"
"103-104","委員","毛正倫","男","食品科學"
"103-104","委員","王苑春","女","食品科學"
"103-104","委員","王崇安","男","醫學"
"103-104","委員","王朝鐘","男","食品科學"
"103-104","委員","王進崑","男","營養學"
"103-104","委員","王銘富","男","食品科學"
"103-104","委員","王靜瓊","女","藥理學"
"103-104","委員","何橈通","男","醫學"
"103-104","委員","吳文勉","女","營養學"
"103-104","委員","吳亮宜","男","生物科學"
"103-104","委員","吳彥慧","女","醫學"
"103-104","委員","吳裕仁","男","生物科學"
"103-104","委員","呂廷璋","男","食品科學"
"103-104","委員","呂淑芬","女","食品科學"
"103-104","委員","忻凌偉","男","藥學"
"103-104","委員","李宗貴","男","營養學"
"103-104","委員","李宜勳","男","藥學"
"103-104","委員","李輝","男","藥學"
"103-104","委員","汪徽五","男","毒理學"
"103-104","委員","沈立言","男","食品科學"
"103-104","委員","沈芯伃","女","醫學"
"103-104","委員","阮琪昌","男","醫學"
"103-104","委員","周正俊","男","食品科學"
"103-104","委員","周志輝","男","食品科學"
"103-104","委員","周家瑋","男","藥學"
"103-104","委員","林文川","男","醫學"
"103-104","委員","林文元","男","醫學"
"103-104","委員","林仲聖","男","食品科學"
"103-104","委員","林志六","男","藥學"
"103-104","委員","林志城","男","食品科學"
"103-104","委員","林佳靜","女","生物科學"
"103-104","委員","林季千","男","醫學"
"103-104","委員","林宜穎","女","藥學"
"103-104","委員","林幸榮","男","醫學"
"103-104","委員","林宣霈","男","藥學"
"103-104","委員","林首愈","女","法律學"
"103-104","委員","林琬琬","女","藥理學"
"103-104","委員","邱智賢","男","食品科學 "
"103-104","委員","金惠民","女","營養學"
"103-104","委員","侯家瑋","男","醫學"
"103-104","委員","侯鈺琪","女","藥學"
"103-104","委員","柯俊良","男","醫學"
"103-104","委員","孫懿真","女","藥學"
"103-104","委員","徐麗娟","女","醫學"
"103-104","委員","涂英賢","男","化學"
"103-104","委員","祝年豐","男","醫學"
"103-104","委員","翁芸芳","女","毒理學"
"103-104","委員","袁國芳","女","食品科學 "
"103-104","委員","高芷華","女","醫學"
"103-104","委員","康宏佑","男","醫學"
"103-104","委員","張為元","女","藥學"
"103-104","委員","張素瓊","女","生物科學"
"103-104","委員","張菡馨","女","營養學"
"103-104","委員","張維國","男","醫學"
"103-104","委員","張櫻馨","女","毒理學"
"103-104","委員","梁志弘","男","食品科學 "
"103-104","委員","章樂綺","女","醫學"
"103-104","委員","許惠玉","女","營養學"
"103-104","委員","許瑞芬","女","營養學"
"103-104","委員","許輝吉","男","病理學"
"103-104","委員","郭家驊","男","運動科學"
"103-104","委員","郭敏玲","女","生物科學"
"103-104","委員","陳甘霖","男","藥學"
"103-104","委員","陳怡伶","女","化學"
"103-104","委員","陳炳輝","男","食品科學 "
