年份,職稱,姓名,性別,專長
"106-107","召集人","楊榮森","男","骨科臨床醫學、骨腫瘤、骨質疏鬆症、骨代謝、骨細胞學"
"106-107","副召集人","蘇振隆","男","醫學影像、生醫電磁效應"
"106-107","委員","朱紀洪","男","醫院管理、醫療資訊管理、一般外科、乳房外科、抗人類單株抗體製造"
"106-107","委員","朱娟秀","女","解剖病理、外科病理診斷、乳房病理診斷"
"106-107","委員","李文婷","女","幹細胞研究、組織工程、分子生物學"
"106-107","委員","沈書慧","女","腹部與泌尿生殖系統之介入性放射線學"
"106-107","委員","林明薇","女","遺傳流行病學、生物統計學、遺傳資料分析、流行病學"
"106-107","委員","林俊彬","男","牙髓病學、醫學工程、生物材料及力學、電子顯微鏡學"
"106-107","委員","施俊哲","男","心臟移植、動脈瘤及主動脈剝離手術、血管支架手術"
"106-107","委員","翁林仲","男","眼神經、白內障、小切口超音波晶體乳化術、屈光、隱形眼鏡、視力保健"
"106-107","委員","馬旭","男","重建手術、腫瘤手術、燒燙傷手術、臉部整形"
"106-107","委員","婁培人","男","頭頸部腫瘤及癌症手術、鼻咽癌、口腔癌、喉癌、下咽癌之診斷及治療、唾液腺腫瘤之診斷及治療、光動力治療"
"106-107","委員","張正","男","體內診斷及免疫藥劑之研究及發展、分析化學、分離及純化技術、生物無機化學、稀土離子配位化學"
"106-107","委員","張淑雯","女","近視雷射手術、白內障小切口手術、角膜移植、角膜潰瘍、角鞏膜疾病"
"106-107","委員","郭文娟","女","內視鏡光學斷層影像之開發與臨床醫學應用、眼底多重影像對比技術開發、動態血管與血流造影"
"106-107","委員","陳志華","男","運動傷害、關節鏡手術、膝關節手術、肩關節手術、人工關節置換手術"
"106-107","委員","陳淑美","女","腦腫瘤、大腦皮層功能定位、內視鏡腦下垂體腫瘤切除、癲癇手術、顱底手術、微創脊椎手術、兒童神經外科"
"106-107","委員","曾嶔元","男","分子醫學、病理學"
"106-107","委員","黃慧芬","女","唇顎裂手術重建、先天性顱顏異形與後天性顏面外傷之整形重建、美容手術、雷射手術及皮膚美容、其他一般整形"
"106-107","委員","楊台鴻","男","組織工程、幹細胞、奈米材料、醫用高分子"
"106-107","委員","楊雅倩","女","分子遺傳學、基因醫學、生物標記"
"106-107","委員","溫明賢","男","心血管疾病、心律不整、心臟血管超音波"
"106-107","委員","趙子傑","男","甲狀腺手術、乳房外科、胃腸外科"
"106-107","委員","劉滄梧","男","腫瘤醫學、腫瘤內科學、血液學、內科學"
"106-107","委員","蔡呈芳","男","皮膚美容、皮膚老化、乾癬"
"106-107","委員","蔡明松","男","產科及高危險妊娠、產前胎兒超音波診斷、胎兒異常診斷、一般婦科及良性腫瘤"
"106-107","委員","蔡若婷","女","腫瘤放射線治療、 癌症整合性治療、 立體定位放射線手術治療、電腦刀治療、加馬刀放射線手術治療、螺旋刀放射線手術治療、 安寧緩和治療、癌症疼痛治療"
"106-107","委員","蔡瑞瑩","女","界面科學、生物輸送、生醫材料"
"106-107","委員","鮑力恆","男","藥物動力學、中西藥物交互作用、新藥及劑型設計與開發、代謝質體學"
