Volume 21(2013) > Suppl. 1	Section I: 1. HIV: Seek, test, treat, and retain	Jacques Normand *,Julio Montaner, Chi-Tai Fang, Zunyou Wu, Yi-Ming Chen 	http://www.fda.gov.tw/TC/publishJFDAListContent.aspx?id=2089&chk=71197533-72F9-45E8-B0D1-08940AFD5B07	2014-01-07	
Volume 21(2013) > Suppl. 1	Section I: 2. Brain abnormalities in HIV and stimulant users:Interventions and prevention	Linda Chang *, Steven Shoptaw , Jacques Normand 	http://www.fda.gov.tw/TC/publishJFDAListContent.aspx?id=2090&chk=934BDB9C-B7B8-4833-A7FE-B0FA9D38DCD2	2014-01-07	
Volume 21(2013) > Suppl. 1	Section I: 3.Harm reduction	Jacques Normand *, Jih-Heng Li , Nicholas Thomson, Don Des Jarlais 	http://www.fda.gov.tw/TC/publishJFDAListContent.aspx?id=2091&chk=51771AD6-3A47-4258-B160-29F20044344F	2014-01-07	
Volume 21(2013) > Suppl. 1	Section I: 4. Medication-assisted therapy for opioid addiction	Betty Tai *, Andrew J. Saxon, Walter Ling 	http://www.fda.gov.tw/TC/publishJFDAListContent.aspx?id=2092&chk=FAA51752-E143-4B71-8DBD-F146AB8B0E86	2014-01-07	
Volume 21(2013) > Suppl. 1	Section I: 5.Prevention, family, and community	Shu-Lung Yang *, Louise Ann Rohrbach , Dennis Daley 	http://www.fda.gov.tw/TC/publishJFDAListContent.aspx?id=2093&chk=2DDF9158-BCE2-4F77-AD8B-5E1C8234E592	2014-01-07	
Volume 21(2013) > Suppl. 1	Section I: 6.Emerging drug problems in Asia	Gavin Bart	http://www.fda.gov.tw/TC/publishJFDAListContent.aspx?id=2094&chk=92A0892D-35E9-4C58-A41A-5B3093898FB7	2014-01-07	
Volume 21(2013) > Suppl. 1	Section I: 7.Collaborative work between the West and Asia	Yih-Ing Hser *, Gavin Bart , Li Li , Le Minh Giang 	http://www.fda.gov.tw/TC/publishJFDAListContent.aspx?id=2095&chk=9F1B4440-3B4A-4E4B-8BE5-B28346CB2BBA	2014-01-07	
Volume 21(2013) > Suppl. 1	Section I: 8.Genetics and pharmacogenetics of substance use disorders	Pao-Luh Tao *, Li-Shiun Chen , Chih-Ken Chen , Yu-Li Liu 	http://www.fda.gov.tw/TC/publishJFDAListContent.aspx?id=2096&chk=F21E0C89-0B53-4DA7-84D3-142B53A117AA	2014-01-07	
Volume 21(2013) > Suppl. 1	Section I: 9. Potential therapeutic strategy to treat substance abuse related disorders	Sulie L. Chang	http://www.fda.gov.tw/TC/publishJFDAListContent.aspx?id=2097&chk=EB5DC049-6418-4EFB-87CF-25260BB25437	2014-01-07	
Volume 21(2013) > Suppl. 1	Section II: 1.Current status of substance abuse and HIV in Taiwan	Wen-Jing Yu , Wen-Ing Tsay , Jih-Heng Li 	http://www.fda.gov.tw/TC/publishJFDAListContent.aspx?id=2099&chk=59FE5643-26F6-4437-8C93-D93B368F8142	2014-01-07	
Volume 21(2013) > Suppl. 1	Section II: 2.Current status of substance abuse and HIV infection in Japan	Kiyoshi Wada*, Masahiko Funada, Toshihiko Matsumoto, Takuya Shimane	http://www.fda.gov.tw/TC/publishJFDAListContent.aspx?id=2100&chk=B7684277-B4F0-48EA-8BEE-DB66CBE82138	2014-01-07	
Volume 21(2013) > Suppl. 1	Section II: 3. Current status of drug use and HIV/AIDS prevention in drug users in China	Jianhua Li*, Xinyue Li	http://www.fda.gov.tw/TC/publishJFDAListContent.aspx?id=2101&chk=EBCCBC5B-F2DA-4FD9-BE5D-1591E64C45EB	2014-01-07	
