肌膚之鑰精質乳霜，光采保濕露	/	台北市	02  5 2013 12:00AM		      行政院衛生署食品藥物管理局查獲受處分人102年2月5日於BEAUTY美人誌第147期第56頁「肌膚之鑰精質乳霜、光采保濕露」（案件編號：102-0116）化粧品廣告，其廣告宣稱：「…『光芒細胞管理理論』，強調阻斷細胞壓力源，藉由掌控細胞接收訊息的品質、調整內部及表面的細微構造，加速『光芒細胞』大量新生…」等虛偽誇大字句，但未申請廣告核定表，經受處分人於102年4月15日出具委託裁決聲明書坦承違規屬實在卷，惟受處分人99年至102年4月29日刊登違規廣告共計179件，經各行政單位查獲，業經本府衛生局裁處在案，本案係屬再次違規，違反化粧品衛生管理條例第24條第2項規定，爰依同條例第30條第 1項規定加重處分如主旨。	02  5 2013 12:00AM	平面媒體	BEAUTY美人誌	未違規結案	
克蘭詩超V型緊塑精華	新加坡商克蘭詩股份有限公司/	台北市	02  8 2013 12:00AM		廣告違規	02  8 2013 12:00AM	平面媒體	時報周刊	未違規結案	
dream institute 青春煉金超能眼霜	/	台北市	02  8 2013 12:00AM		廣告違規	02  8 2013 12:00AM	平面媒體	時報周刊	未違規結案	
SISLEY極致美白密集晶萃	香港商希思黎化妝品有限公司台灣分公司/	台北市	02 20 2013 12:00AM		廣告違規	02 20 2013 12:00AM	平面媒體	自由時報	未違規結案	
資生堂驅黑淨白露	/	台北市	02 22 2013 12:00AM		經查其廣告內容與桃縣粧廣字第10201025號廣告核定表內容相符	02 22 2013 12:00AM	平面媒體	自由時報	未違規結案	
金箔抗皺保濕凝膠	/	台北市	02 22 2013 12:00AM			02 22 2013 12:00AM	平面媒體	聯合報	輔導結案	
九胜肽黃金蠶絲蛋白精華液	/	高雄市	02 21 2013 12:00AM		廣告違規	02 21 2013 12:00AM	平面媒體	聯合報	未違規結案	
ERNO LASZLO系列	翔順國際有限公司/	台北市	02  5 2013 12:00AM		其刊登或宣播之廣告內容與原核准廣告內容不符	02  5 2013 12:00AM	平面媒體	VOCE美妝時尚	相關案件已處分	
Ido醫朵AC-11極致抗皺賦活霜	船井生醫/	台北市	02  5 2013 12:00AM		廣告違規	02  5 2013 12:00AM	平面媒體	VOCE美妝時尚	未違規結案	
我的美麗日記眼膜系列	/	台北市	02  5 2013 12:00AM		廣告違規	02  5 2013 12:00AM	平面媒體	VOCE美妝時尚	未違規結案	
