年度月份,抽樣衛生局,檢體名稱,抽驗廠商,檢出項目及殘留容許量
"106年7-9月","花蓮縣","雞腿肉","鐵路局餐旅廚房","合格"
"106年7-9月","花蓮縣","排骨肉","鐵路局餐旅廚房","合格"
"106年7-9月","金門縣","豬肉","真利","合格"
"106年7-9月","嘉義縣","台糖豬肉-肉片","台糖蜜鄰便利超市","合格"
"106年7-9月","屏東縣","鴨蛋","尚品行","合格"
"106年7-9月","屏東縣","生鴨蛋","文昌蛋行","合格"
"106年7-9月","嘉義縣","原料蛋(雞蛋)","新英蛋品科技有限公司","合格"
"106年7-9月","屏東縣","澳洲牛肉火鍋片","好印象生鮮超市(龍華店)","合格"
"106年7-9月","嘉義縣","鴨肉","灌口鹽鴨","合格"
"106年7-9月","嘉義縣","原料蛋","嘉太農產行","合格"
"106年7-9月","雲林縣","臺灣豬胛心肉","和省錢生鮮超市","合格"
"106年7-9月","嘉義縣","豬梅花肉塊","全聯實業股份有限公司","合格"
"106年7-9月","屏東縣","生雞蛋","羽禾食品有限公司","合格"
"106年7-9月","屏東縣","五花條肉","里港農會生鮮超市","合格"
"106年7-9月","嘉義縣","比臉大厚片沙朗牛排","大鼎冷凍食品行","合格"
"106年7-9月","屏東縣","紐西蘭莎朗牛排","好媳婦生鮮超市","合格"
"106年7-9月","雲林縣","美國無骨牛小排薄切片","全聯實業股份有限公司雲林四湖分公司","合格"
"106年7-9月","嘉義縣","雞肉","菜公店土窯鷄","合格"
"106年7-9月","屏東縣","鵪鶉蛋","羽禾食品有限公司","合格"
"106年7-9月","嘉義縣","豬五花肉條","全聯實業股份有限公司","合格"
"106年7-9月","屏東縣","梅花肉塊","里港農會生鮮超市","合格"
"106年7-9月","屏東縣","澳洲紐西蘭牛肉火鍋片","825生鮮超市","合格"
"106年7-9月","雲林縣","伊比利豬梅花火鍋肉片","大潤發流通事業股份有限公司斗南分公司","合格"
"106年7-9月","嘉義縣","台糖豬肉-豬肚","台糖蜜鄰便利超市","合格"
"106年7-9月","屏東縣","鴨蛋(生鮮)","春發蛋行","合格"
"106年7-9月","嘉義縣","大里肌火鍋片","臺灣省肉品運銷合作社","合格"
"106年7-9月","雲林縣","五花肉塊","家福股份有限公司斗六分公司","合格"
"106年7-9月","屏東縣","小里肌","里港農會生鮮超市","合格"
"106年7-9月","屏東縣","豬五花肉條","全聯福利中心高樹店","合格"
"106年7-9月","屏東縣","國產豬梅花薄切片肉","全聯福利中心-東港博愛店","合格"
"106年7-9月","雲林縣","胛心肉","家福股份有限公司斗六分公司","合格"
"106年7-9月","嘉義縣","原料蛋","嘉億蛋行","合格"
"106年7-9月","嘉義縣","肉絲","臺灣省肉品運銷合作社","合格"
"106年7-9月","屏東縣","豬胛心肉塊","全聯福利中心-東港博愛店","合格"
"106年7-9月","屏東縣","豬胛心肉塊","全聯福利中心高樹店","合格"
"106年7-9月","嘉義縣","國產豬五花薄切肉片","全聯福利中心(文化北路店","合格"
"106年7-9月","雲林縣","國產豬里肌薄切肉片","全聯實業股份有限公司斗六民生分公司","合格"
"106年7-9月","屏東縣","腰內肉","車城農會超市","合格"
"106年7-9月","屏東縣","雞心","好媳婦生鮮超市","合格"
"106年7-9月","基隆市","雞胸肉","臺東放山玉米雞","合格"
"106年7-9月","新竹縣","雞胸肉去皮","全聯福利中心","合格"
"106年7-9月","新竹縣","澳洲板腱","千宇開發股份有限公司","合格"
"106年7-9月","屏東縣","豬胛心肉塊","全聯實業股份有限公司屏東勝利分公司","合格"
"106年7-9月","基隆市","牛腱","南興市場-生鮮牛肉","合格"
"106年7-9月","新竹縣","冷凍梅花火鍋片","文興店","合格"
"106年7-9月","新竹縣","無骨雞胸肉","億客來","合格"
"106年7-9月","屏東縣","太空鴨","好媳婦生鮮超市","合格"
"106年7-9月","屏東縣","五花肉條","車城農會超市","合格"
"106年7-9月","基隆市","美廉社羊肉火鍋片(原味調理)","美廉社崇智店","合格"
"106年7-9月","屏東縣","豬五花肉條(帶皮)","全聯實業股份有限公司屏東勝利分公司","合格"
"106年7-9月","新竹縣","紐西蘭沙朗","千宇開發股份有限公司","合格"
"106年7-9月","新竹縣","黑豬腱肉","吉利食舖","合格"
"106年7-9月","雲林縣","豬梅花肉塊","全聯實業股份有限公司斗六鎮南分公司","合格"
"106年7-9月","雲林縣","國產土雞","和省錢生鮮超市","合格"
"106年7-9月","屏東縣","雲林珍香豬里肌肉片","全聯實業股份有限公司恆春西門店","合格"
"106年7-9月","新竹縣","澳洲黃瓜條","千宇開發股份有限公司","合格"
"106年7-9月","臺北市","冷凍鯛魚腹肉","幸福品味實業股份有限公司","合格"
"106年7-9月","臺北市","蝦仁","薺元食品有限公司","合格"
"106年7-9月","臺北市","小蝦仁","富利餐飲股份有限公司敦化分公司","合格"
"106年7-9月","臺北市","冷凍蝦仁","王朝大酒店-2樓玉蘭軒","合格"
"106年7-9月","臺北市","霜降豬肉","大潤發流通事業股份有限公司內湖分公司","合格"
"106年7-9月","臺北市","劍蝦仁","點水樓餐飲事業股份有限公司","合格"
"106年7-9月","臺北市","冷凍蝦仁","力麗哲園商旅","合格"
"106年7-9月","臺北市","冷凍白蝦仁","晴之小吃店","合格"
"106年7-9月","臺北市","冷凍豬肉","囍宴軒股份有限公司小巨蛋分公司","合格"
"106年7-9月","臺北市","雞肉","囍宴軒股份有限公司小巨蛋分公司","合格"
"106年7-9月","臺北市","豬肉片","翰林國際茶餐飲","合格"
"106年7-9月","臺北市","冷凍雞肉","臺北西華飯店-怡園中餐廳","合格"
"106年7-9月","臺北市","羊排","臺北西華飯店-怡園中餐廳","合格"
"106年7-9月","臺北市","冷藏牛肉","茹絲葵食品企業股份有限公司臺北門市部","合格"
"106年7-9月","臺北市","冷藏肉.肉雞切塊","二十一世紀生活事業股份有限公司內湖大潤發門市部","合格"
"106年7-9月","臺北市","現流透抽","二十一世紀生活事業股份有限公司內湖大潤發門市部","合格"
"106年7-9月","臺北市","紐西蘭沙朗","臺北凱撒大飯店","合格"
"106年7-9月","臺北市","澳洲冷藏牛腱","惠康百貨股份有限公司同安分公司","合格"
"106年7-9月","臺北市","牛肉片","宜昌小吃店","合格"
"106年7-9月","臺北市","豬肝","興鳳肉行","合格"
"106年7-9月","臺北市","草蝦仁","遠百企業股份有限公司景美分公司","合格"
"106年7-9月","臺北市","鴨肉","金磚鴨莊汀州分店","合格"
"106年7-9月","臺北市","羊腿","馬辣鴛鴦火鍋專賣店","合格"
"106年7-9月","臺北市","雞腿丁","馬辣鴛鴦火鍋專賣店","合格"
