年份,職稱,姓名,性別,服務單位及職稱
"104","召集人","林慧玲","女","臺灣大學臨床藥學研究所副教授"
"104","委員","王榮璋","男","社團法人中華民國殘障聯盟秘書長"
"104","委員","余萬能","男","中華民國藥事品質改革協會常務監事"
"104","委員","宋順蓮","女","社團法人台灣婦女團體全國聯合會常務理事"
"104","委員","李淑娟","女","國立臺灣大學新聞研究所"
"104","委員","李碧姿","女","中華民國老人福利推動聯盟研究組主任"
"104","委員","李錦炯","男","中華民國藥師公會全國聯合會常務理事"
"104","委員","沈采穎","女","鼎泰藥局負責藥師"
"104","委員","張嘉訓","男","中華民國醫師公會全國聯合會常務理事 醫療事業輔導委員會召集委員"
"104","委員","郭莉娜","女","臺北市立萬芳醫院藥劑部主任"
"104","委員","陳尚斌","男","衛生福利部中央健康保險署研究員"
"104","委員","陳昭元","男","新北市藥師公會常務理事 泰林中西藥局負責藥師"
"104","委員","黃純英","女","衛生福利部醫事司代理副司長"
"104","委員","楊志平","男","臺大/陽明/中央/銘傳大學 兼任教授、 中華民國開發性製藥研究協會常務理事、 藥品法規委員會主席、 中華民國蛋白質體學學會創會理事"
"104","委員","劉麗玲","女","衛生福利部食品藥物管理署組長"
"104","委員","潘美貝","女","臺北市社區藥局委員會主委"
"104","委員","鄧新棠","男","長庚醫療財團法人林口長庚紀念醫院藥學部主任"
"104","委員","謝志元","男","中華民國西藥商業同業公會全國聯合會常務監事"
"104","委員","蘇美惠","女","台灣製藥工業同業公會秘書長、中華民國製藥發展協會祕書長"
"104","委員","蘇新田","男","中華民國藥劑生公會全國聯合會理事長"
"104","委員","蘇錦霞","女","中華民國消費者文教基金會名譽董事長 衍義國際法律事務所律師"
"103","召集人","朱紀洪","男",""
"103","委員","簡素玉","女",""
"103","委員","李炳鈺","男",""
"103","委員","陳昭元","男",""
"103","委員","林振順","男",""
"103","委員","陳合成","男",""
"103","委員","李淑娟","女",""
"103","委員","張嘉訓","男",""
"103","委員","李蜀平","男",""
"103","委員","蘇新田","男",""
"103","委員","周月卿","女",""
"103","委員","劉文雄","男",""
"103","委員","蘇美惠","女",""
"103","委員","楊志平","男",""
"103","委員","蘇錦霞","女",""
"103","委員","何碧珍","女",""
"103","委員","王榮璋","男",""
"103","委員","李碧姿","女",""
"103","委員","黃敏偉","男",""
"103","委員","黃純英","女",""
"103","委員","施如亮","女",""
"103","委員","劉麗玲","女",""
