年份,現職單位職稱,姓名,性別,備註
"105-106","食品藥物管理署風險管理組組長","李明鑫","男","主任委員"
"105-106","食品藥物管理署管制藥品組組長","蔡文瑛","女","委員"
"105-106","法務部調查局鑑識科學處副處長","胡仕雄","男","委員"
"105-106","內政部警政署刑事警察局研究員","謝金霖","男","委員"
"105-106","","簡俊生","男","委員"
"105-106","國立臺灣大學化學系教授","何國榮","男","委員"
"105-106","國立成功大學工業衛生科暨環境醫學研究所教授","廖寶琦","男","委員"
"105-106","台北醫學大學藥學系教授","許秀蘊","女","委員"
"105-106","中國醫藥大學職業安全與衛生學系教授","王文忻","女","委員"
"105-106","食品藥物管理署風險管理組簡任技正","陳瑜絢","女","執行秘書"
"105-106","法務部調部辦事主任檢察官","聶眾","男","委員"
"105-106","食品藥物管理署研究檢驗組簡任技正","陳玉盆","女","委員"
"105-106","中央警察大學鑑識科學學系教授","王勝盟","男","委員"
"105-106","","羅吉方","男","委員"
"105-106","高雄醫學大學運動醫學系教授","許美智","女","委員"
