年份,職稱,姓名,性別,專長
"106-107","召集人","李明鑫","男","實驗室認證及管理"
"106-107","副召集人","王淑芬","女","實驗室認證及管理"
"106-107","外聘委員","蘇淑珠","女","食品化學"
"106-107","外聘委員","鄭秋真","女","食品化學"
"106-107","外聘委員","何國榮","男","食品化學、實驗室品管"
"106-107","外聘委員","郭清河","男","無機檢驗、實驗室認證"
"106-107","外聘委員","熊同銘","男","分析化學、儀器分析、環境分析"
"106-107","外聘委員","傅明仁","男","有機、動物用藥殘留"
"106-107","外聘委員","蔡宗佑","男","微生物類、食品攙偽"
"106-107","外聘委員","桂椿雄","男","農藥、動物用藥、戴奧辛"
"106-107","內聘委員","陳瑜絢","女","實驗室認證及管理"
"106-107","內聘委員","闕麗卿","女","實驗室認證及管理、微生物類、食品攙偽"
"106-107","內聘委員","曾素香","女","食品化學研究檢驗"
"106-107","內聘委員","魏任廷","男","食品藥物化粧品之稽查與檢驗業務之規劃、管理及執行"
"106-107","內聘委員","林旭陽","男","微生物類、食品攙偽"
