藥商別,藥商名稱,藥商地址,GDP作業內容
"製造業","台灣大昌華嘉股份有限公司","桃園縣楊梅區瑞坪里梅獅路二段629號","儲存及運輸作業(含冷鏈產品)。"
"製造業","瑪里士實業有限公司","臺北市內湖區舊宗路二段121巷30號2樓、32號2樓、2樓之1及36號4樓","儲存、運輸(均含冷鏈產品)"
"販賣業","瑪里士實業有限公司","臺北市松山區八德路三段219號8樓","採購、供應、輸入(均含冷鏈產品)"
"製造業","集康國際股份有限公司文化倉","新北市林口區文化二路二段383號","儲存、運輸(均含冷鏈產品)"
"製造業","友華生技醫藥股份有限公司桃園製藥廠","桃園市桃園區大誠路11號","儲存、運輸(均含冷鏈產品)"
"製造業","恆春氣體工業有限公司","花蓮縣吉安鄉慶南一街57號","儲存、供應、運輸(均為醫用氣體)"
"販賣業","海喬國際股份有限公司","台北市大同區重慶北路三段276之1號","採購、供應、輸入(均含冷鏈藥品)"
"販賣業","昱泰藥品股份有限公司","新北市中和區建康路10號8樓","採購、供應、輸入(均含冷鏈藥品)"
"販賣業","衛采製藥股份有限公司","台北市中山區長安東路一段18號9樓","供應、輸入、輸出(均含冷鏈藥品)"
"販賣業","創益生技股份有限公司","台北市南港區園區街3之1號3樓之1","採購、供應(均含冷鏈藥品)"
"製造業","盈盈生技製藥股份有限公司三峽廠","新北市三峽區紫新路26巷6號","儲存、供應(均含冷鏈藥品)"
"製造業","國嘉製藥工業股份有限公司幼獅三廠","台中市大甲區日南里工十路2號","儲存、供應"
"製造業","科進製藥科技股份有限公司新竹廠","新竹縣竹北市東海里生醫路2段22、26號4樓","儲存"
"販賣業","台灣參天製藥股份有限公司","台北市中山區松江路126號9樓之1","採購、供應、輸入(均含冷鏈藥品)"
"販賣業","中化裕民健康事業股份有限公司","台北市中正區襄陽路23號8樓","採購、供應、輸入(均含冷鏈藥品)"
"販賣業","台灣大昌華嘉股份有限公司","台北市內湖區堤頂大道二段407巷20弄1、3、5、7號10樓及22、24、26號10樓及22號10樓之1","採購、供應、輸入"
"販賣業","亞博實業股份有限公司","台北市信義區永吉路168號12樓之2","採購、供應、輸入"
"製造業","遠榮氣體工業股份有限公司樹林工廠","新北市樹林區中山路三段206號之一","儲存、供應、運輸(均為醫用氣體)"
"製造業","亞博實業股份有限公司","新北市三重區重化街28號","儲存、運輸"
"製造業","中國化學製藥股份有限公司台中工廠","台中市西屯區工業15路10號","儲存"
"製造業","中國化學製藥股份有限公司新豐二廠","新竹縣新豐鄉上坑村2鄰坑子口182號","儲存、輸出"
"製造業","杏輝藥品工業股份有限公司","宜蘭縣冬山鄉中山村中山路84、84-4、84-6、84-7號及新寮路95、95-1、100-7、100-13、100-15、100-16、103、136號","儲存、供應"
"販賣業","台灣禮來股份有限公司","台北市松山區復興北路365號11樓","採購、供應、輸入(均含冷鏈藥品)"
"製造業","歐帕生技醫藥股份有限公司","新竹縣湖口鄉湖南村光復路1號","儲存(含冷鏈藥品)"
"販賣業","台灣協和醱酵麒麟股份有限公司","台北市中山區中山北路二段44號14樓","供應、輸入(均含冷鏈藥品)"
"製造業","久裕企業股份有限公司","桃園市桃園區大林里興邦路43巷2之1號4樓,3樓B區,1樓A區","儲存、運輸(均含冷鏈藥品)"
"製造業","海喬健康事業股份有限公司","新北市中和區建康路10號7樓","儲存、運輸(均含冷鏈藥品)"
"販賣業","海喬健康事業股份有限公司","新北市中和區建康路10號7樓","採購、供應、輸入(均含冷鏈藥品)"
"製造業","輝瑞生技股份有限公司新竹廠","新竹縣新豐鄉中崙村中崙290-1號","儲存、輸出"
"製造業","佐藤製藥股份有限公司新竹廠","新竹縣湖口鄉湖南村光復北路7號","儲存"
"製造業","中國化學製藥股份有限公司新豐工廠","新竹縣新豐鄉坑子口182之1號","儲存、供應、輸出(均含冷鏈藥品)"
"製造業","昱昇藥業有限公司桃園廠","桃園市蘆竹區南山路一段436號","儲存、運輸(均含冷鏈藥品)"
"販賣業","景德製藥股份有限公司","台北市中山區中山北路二段113號8樓","供應(含冷鏈藥品)"
"製造業","台灣田邊製藥股份有限公司新竹廠","新竹縣湖口鄉鳳凰村光復北路97號","儲存(含冷鏈藥品)"
"販賣業","台灣田邊製藥股份有限公司","台北市南港區中市民大道七段8號14樓之1","供應、輸出"
"製造業","應元化學製藥股份有限公司","台南市南區彰南里新中路26號","儲存、供應"
"販賣業","台灣塩野義製藥股份有限公司","台北市中山區南京東路二段2號4樓","採購、供應、輸入、輸出(均含冷鏈藥品)"
"製造業","優龍股份有限公司","新北市中和區中正路738號15樓之1、2室","儲存、運輸"
"製造業","吉地喜股份有限公司","新竹縣新豐鄉新豐村紅毛23-5號","儲存(含冷鏈藥品)"
"製造業","台灣汎生製藥廠股份有限公司","高雄市鳥松區坔埔里大同路5-1號及坔埔村神農路330號","儲存、供應、輸出"
"製造業","瑞安大藥廠股份有限公司觀音廠","桃園縣觀音鄉草漯村大同一路26號","儲存(含冷鏈藥品)"
"販賣業","瑞安大藥廠股份有限公司","台北市松山區光復南路1號12樓之2","採購、供應、輸出(均含冷鏈藥品)"
"製造業","中國化學製藥股份有限公司台南二廠","台南市官田區二鎮里工業路39號","儲存"
"製造業","永信藥品工業股份有限公司台中幼獅三廠","台中市大甲區日南里工六路26號、工十路12之1號","儲存"
"製造業","集康國際股份有限公司","高雄市鳥松區美山路6-1號","儲存、運輸(均含冷鏈藥品)"
"製造業","順華藥品工業股份有限公司三峽工廠","新北市三峽區二鬮路186號","儲存、供應、運輸"
"販賣業","順華藥品工業股份有限公司","台北市中正區重慶南路三段36巷12號","採購、供應"
"販賣業","宜泰貿易有限公司","台北市中正區重慶南路三段36巷12號","採購、供應、輸入"
"製造業","博謙生技股份有限公司","台南市新市區環東路一段31巷2號4樓、2號5樓、6號4樓、6號5樓、8號4樓","儲存、供應、運輸(均含冷鏈藥品)"
"販賣業","台灣默克股份有限公司","台北市內湖區堤頂大道二段89號6樓","採購、供應、輸入(均含冷鏈藥品)"
"販賣業","百昇特生技醫藥股份有限公司","台北市信義區信義路五段7號80樓之1","採購、供應、輸入(均含冷鏈藥品)"
"販賣業","台灣大正製藥股份有限公司","台北市大同區長安西路180號4樓之1","採購、供應、輸入"
"販賣業","歐舒邁克有限公司","新北市新店區中正路487-4號8樓","供應(含冷鏈藥品)"
"製造業","瑞士藥廠股份有限公司新市廠","台南市新市區中山路182號","儲存(含冷鏈藥品)"
"販賣業","久裕企業股份有限公司","新北市中和區中正路872號7樓之1","採購、供應、輸入"
"販賣業","永甲興業股份有限公司","台北市松山區民權東路三段181號12樓","採購、供應"
"販賣業","新加坡商美納里尼醫藥有限公司台灣分公司","台北市大安區敦化南路二段65號17樓","採購、供應、輸入、輸出"
"販賣業","智擎生技製藥股份有限公司","台北市中山區民生東路三段10號11樓","採購、供應、輸入(均含冷鏈藥品)"
"販賣業","瑞士藥廠股份有限公司","台南市新市區中山路182號","採購、儲存、供應、輸出(均含冷鏈藥品)"
"販賣業","台灣諾華股份有限公司","台北市中正區仁愛路二段99號11、12、13樓","採購、供應、輸入(均含冷鏈藥品)"
"製造業","利達製藥股份有限公司","台中市大甲區岷山里中山路一段906號","儲存、供應"
"販賣業","台灣安斯泰來製藥股份有限公司","台北市中山區民生東路三段10號5樓","採購、供應、輸入(均含冷鏈藥品)"
"販賣業","科懋生物科技股份有限公司","台北市南港區園區街3號14樓之6","採購、儲存、供應、輸入(均含冷鏈藥品)"
"販賣業","科進製藥科技股份有限公司","台北市南港區園區街3號14樓之7","供應、輸出(均含冷鏈藥品)"
"製造業","壽元化學工業股份有限公司","嘉義市西區湖內里新民路128號","儲存、供應、輸出、運輸"
"製造業","吉發企業股份有限公司中和廠","新北市中和區橋和路116號6樓、6樓之1、6樓之2及6樓之3","儲存、運輸(均含冷鏈藥品)"
"販賣業","吉發企業股份有限公司","台北市中正區愛國西路9號2樓之9","採購、供應、輸入(均含冷鏈藥品)"
"製造業","天乾製藥有限公司","台南市將軍區忠興里忠興132之35號A區","儲存、供應、輸出、運輸"
"製造業","培力藥品工業股份有限公司","台中市西屯區協和里工業區六路11號","儲存、供應"
"販賣業","和聯生技藥業股份有限公司","台北市松山區敦化北路311號5樓","採購、供應、輸入(均含冷鏈藥品)"
"販賣業","台灣必治妥施貴寶股份有限公司","台北市松山區健康路156號4樓、5樓","採購、供應、輸入(均含冷鏈藥品)"
"製造業","健亞生物科技股份有限公司","新竹縣湖口鄉中興村工業一路1號","儲存、供應、輸出(均含冷鏈藥品)"
"製造業","永豐化學工業股份有限公司新莊工廠","新北市新莊區新樹路292號","儲存"
"製造業","永勝藥品工業股份有限公司","嘉義縣民雄鄉頭橋工業區工業三路6之3號","儲存、供應"
"販賣業","羅氏大藥廠股份有限公司","台北市松山區民生東路三段134號9樓","採購、供應、輸入(均含冷鏈藥品)"
"販賣業","新瑞生物科技股份有限公司","台南市新市區中山路182號","供應"
"販賣業","瑞士商愛爾康大藥廠股份有限公司台灣分公司","台北市中正區仁愛路99號11樓","採購、供應、輸入(均含冷鏈藥品)"
"販賣業","川聖貿易股份有限公司’","台北市松山區民生東路五段28號5樓","供應、輸出(均含冷鏈藥品)"
"製造業","漁人製藥股份有限公司","高雄市左營區菜公里民族一路707號","儲存、供應"
"製造業","泛泰醫療產品股份有限公司","桃園市蘆竹區海湖里海山東街482號","儲存、運輸(均含冷鏈藥品)"
"販賣業","台灣東洋藥品工業股份有限公司","台北市南港區園區街3之1號3樓","採購、供應、輸入、輸出(均含冷鏈藥品)"
"製造業","美時化學製藥股份有限公司南投廠","南投縣南投市成功一路30號","儲存、供應"
"販賣業","永豐化學工業股份有限公司","新北市新莊區新樹路292號","儲存、供應、輸出"
"販賣業","韋淳貿易股份有限公司","台北市中山區松江路65號4樓","採購、供應、輸入(均含冷鏈藥品)"
"販賣業","衛生福利部疾病管制署","台北市南港區昆陽街161號","儲存、供應、輸出(均含冷鏈藥品)"
"販賣業","台灣諾和諾德藥品股份有限公司","台北市大安區敦化南路2段216號7樓之1","採購、供應、輸入(均含冷鏈藥品)"
"販賣業","健如醫藥股份有限公司","台北市中正區仁愛路2段12號9樓","供應"
