「領有管制藥品登記證之獸醫診療機構、畜牧獸醫機構、動物用藥品販賣業申請異動、歇業及停業流程」及「領有管制藥品登記證之動物用藥品製造業申請異動、歇業及停業流程」	http://www.fda.gov.tw/TC/lawContent.aspx?id=1125&chk=8E422DE9-EFBF-47A4-8E4D-3581271E7317	05 11 2004 12:00AM	
Pethidine（配西汀）臨床使用指引(100.9.1訂定)	http://www.fda.gov.tw/TC/includes/GetFile.ashx?id=1375&chk=D3643570-C513-4435-8BCF-1301CA18C619&mid=46&name=fdContent	09  1 2011 12:00AM	
公告修正「毒品危害防制條例施行細則」部分條文	http://www.fda.gov.tw/TC/includes/GetFile.ashx?id=1538&chk=B90CF7E9-E80C-42E1-8F9E-6869121A650B&mid=46&name=fdContent	06  5 2013 12:00AM	
公告應開立管制藥品專用處方箋之管制藥品範圍及專用處方箋之格式、內容(衛署管藥字第89023708號)	http://www.fda.gov.tw/TC/includes/GetFile.ashx?id=1127&chk=6015520E-392C-4187-96F9-071C84FC1B4A&mid=46&name=fdContent	05  1 2000 12:00AM	
吩坦尼穿皮貼片劑使用管理注意事項	http://www.fda.gov.tw/TC/includes/GetFile.ashx?id=84&chk=771D04B8-2D58-4D7E-B184-A49D0C3E1723&mid=46&name=fdContent	12 17 1997 12:00AM	
醫師為疑似有藥癮之非癌症慢性頑固性疼痛病人長期處方麻醉藥品之注意事項(95年9月29日修正)	http://www.fda.gov.tw/TC/includes/GetFile.ashx?id=124&chk=0F31236E-2713-4DB1-A03E-265FBFBF3FCD&mid=46&name=fdContent	09 29 2006 12:00AM	
醫院院內麻醉藥品管理要點	http://www.fda.gov.tw/TC/includes/GetFile.ashx?id=94&chk=CCC23E80-74C9-4F0A-85B6-BCFA07D27B31&mid=46&name=fdContent	02 20 1997 12:00AM	
醫藥研究或訓練用毒品及器具管理辦法	http://www.fda.gov.tw/TC/lawContent.aspx?id=131&chk=7E0FDA23-6E6D-475F-B4B7-1734C441A131	02 24 2004 12:00AM	
苯二氮平類(Benzodiazepines)藥品用於鎮靜安眠之使用指引(961003公告修訂)	http://www.fda.gov.tw/TC/includes/GetFile.ashx?id=118&chk=B890F632-CCF8-4C37-8DB2-F8B89C880541&mid=46&name=fdContent	10  3 2007 12:00AM	
修訂「第一級第二級管制藥品限量核配辦法」第二條附表之限量品項	http://www.fda.gov.tw/TC/lawContent.aspx?id=1672&chk=A691C060-6307-44E4-9F16-7753809E6815	07  1 2014 12:00AM	
病患自控式止痛法（PCA）使用麻醉藥品注意事項	http://www.fda.gov.tw/TC/includes/GetFile.ashx?id=91&chk=10E376ED-71E6-429E-BFC1-095C76BF35F4&mid=46&name=fdContent	10 16 1995 12:00AM	
第一級第二級管制藥品限量核配辦法	http://law.moj.gov.tw/Law/LawSearchResult.aspx?p=A&t=A1A2E1F1&k1=%E7%AE%A1%E5%88%B6%E8%97%A5%E5%93%8	07  2 2010 12:00AM	
