標題,發布日期,連結
"衛生福利部食品藥物管理署104年1月份會計月報","2015-08-13","http://www.fda.gov.tw/tc/includes/GetFile.ashx?mID=133&id=47026"
"衛生福利部食品藥物管理署104年2月份會計月報","2015-08-13","http://www.fda.gov.tw/tc/includes/GetFile.ashx?mID=133&id=47027"
"衛生福利部食品藥物管理署104年3月份會計月報","2015-08-13","http://www.fda.gov.tw/tc/includes/GetFile.ashx?mID=133&id=47028"
"衛生福利部食品藥物管理署104年4月份會計月報","2015-08-13","http://www.fda.gov.tw/tc/includes/GetFile.ashx?mID=133&id=47030"
"衛生福利部食品藥物管理署104年5月份會計月報","2015-08-13","http://www.fda.gov.tw/tc/includes/GetFile.ashx?mID=133&id=47031"
"衛生福利部食品藥物管理署104年6月份會計月報","2015-08-13","http://www.fda.gov.tw/tc/includes/GetFile.ashx?mID=133&id=47032"
"衛生福利部食品藥物管理署104年7月份會計月報","2015-08-13","http://www.fda.gov.tw/tc/includes/GetFile.ashx?mID=133&id=47033"
"衛生福利部食品藥物管理署104年8月份會計月報","2015-10-15","http://www.fda.gov.tw/tc/includes/GetFile.ashx?mID=133&id=47034"
"衛生福利部食品藥物管理署104年9月份會計月報","2015-10-15","http://www.fda.gov.tw/tc/includes/GetFile.ashx?mID=133&id=47035"
"管制藥品製藥工廠作業基金104年1月份會計報告","2015-08-13","http://www.fda.gov.tw/tc/includes/GetFile.ashx?mID=133&id=47037"
"管制藥品製藥工廠作業基金104年1月份會計報告","2015-08-13","http://www.fda.gov.tw/tc/includes/GetFile.ashx?mID=133&id=47038"
"管制藥品製藥工廠作業基金104年2月份會計報告","2015-08-13","http://www.fda.gov.tw/tc/includes/GetFile.ashx?mID=133&id=47039"
"管制藥品製藥工廠作業基金104年2月份會計報告","2015-08-13","http://www.fda.gov.tw/tc/includes/GetFile.ashx?mID=133&id=47040"
"管制藥品製藥工廠作業基金104年3月份會計報告","2015-08-13","http://www.fda.gov.tw/tc/includes/GetFile.ashx?mID=133&id=47041"
"管制藥品製藥工廠作業基金104年3月份會計報告","2015-08-13","http://www.fda.gov.tw/tc/includes/GetFile.ashx?mID=133&id=47042"
"管制藥品製藥工廠作業基金104年4月份會計報告","2015-08-13","http://www.fda.gov.tw/tc/includes/GetFile.ashx?mID=133&id=47043"
"管制藥品製藥工廠作業基金104年4月份會計報告","2015-08-13","http://www.fda.gov.tw/tc/includes/GetFile.ashx?mID=133&id=47044"
"管制藥品製藥工廠作業基金104年5月份會計報告","2015-08-13","http://www.fda.gov.tw/tc/includes/GetFile.ashx?mID=133&id=47067"
"管制藥品製藥工廠作業基金104年5月份會計報告","2015-08-13","http://www.fda.gov.tw/tc/includes/GetFile.ashx?mID=133&id=47068"
"管制藥品製藥工廠作業基金104年6月份會計報告","2015-08-13","http://www.fda.gov.tw/tc/includes/GetFile.ashx?mID=133&id=47069"
"管制藥品製藥工廠作業基金104年6月份會計報告","2015-08-13","http://www.fda.gov.tw/tc/includes/GetFile.ashx?mID=133&id=47070"
"管制藥品製藥工廠作業基金104年7月份會計報告","2015-08-13","http://www.fda.gov.tw/tc/includes/GetFile.ashx?mID=133&id=47071"
"管制藥品製藥工廠作業基金104年7月份會計報告","2015-08-13","http://www.fda.gov.tw/tc/includes/GetFile.ashx?mID=133&id=47072"
"管制藥品製藥工廠作業基金104年8月份會計月報","2015-09-08","http://www.fda.gov.tw/tc/includes/GetFile.ashx?mID=133&id=47073"
"管制藥品製藥工廠作業基金104年8月份會計月報","2015-09-08","http://www.fda.gov.tw/tc/includes/GetFile.ashx?mID=133&id=47074"
"管制藥品製藥工廠作業基金104年9月份會計月報","2015-10-20","http://www.fda.gov.tw/tc/includes/GetFile.ashx?mID=133&id=47075"
"管制藥品製藥工廠作業基金104年9月份會計月報","2015-10-20","http://www.fda.gov.tw/tc/includes/GetFile.ashx?mID=133&id=47076"
"衛生福利部食品藥物管理署104年10月份會計月報","2015-11-12","http://www.fda.gov.tw/tc/includes/GetFile.ashx?mID=133&id=47361"
"管制藥品製藥工廠作業基金104年10月份會計月報","2015-11-12","http://www.fda.gov.tw/tc/includes/GetFile.ashx?mID=133&id=47362"
"管制藥品製藥工廠作業基金104年10月份會計月報","2015-11-12","http://www.fda.gov.tw/tc/includes/GetFile.ashx?mID=133&id=47363"
"藥害救濟基金104年1月份會計月報","2015-11-24","http://www.fda.gov.tw/tc/includes/GetFile.ashx?mID=133&id=47778"
"藥害救濟基金104年3月份會計月報","2015-11-24","http://www.fda.gov.tw/tc/includes/GetFile.ashx?mID=133&id=47779"
"藥害救濟基金104年4月份會計月報","2015-11-24","http://www.fda.gov.tw/tc/includes/GetFile.ashx?mID=133&id=47780"
"藥害救濟基金104年5月份會計月報","2015-11-24","http://www.fda.gov.tw/tc/includes/GetFile.ashx?mID=133&id=47781"
