年份,職稱,姓名,性別,專長
"103-104","召集人","潘子明","男","生物技術、應用微生物"
"103-104","副召集人","李國欽","男","毒物學、農藥化學、環境毒理學、基因轉殖植物生物安全性評估"
"103-104","委員","王淑珍","女","植物分子生物學、作物生理學"
"103-104","委員","朱文深","男","微生物遺傳、生物技術"
"103-104","委員","孫光蕙","女","微生物學、免疫學、生物技術"
"103-104","委員","徐國強","男","食品科學、食品衛生與安全"
"103-104","委員","徐慈鴻","女","農業化學、分子生物學、污染物及農藥殘留檢測、污染物環境毒理研究"
"103-104","委員","徐源泰","男","食品與農業生物技術"
"103-104","委員","許輔","男","蔬果加工、食品分析、免疫學、食品追溯"
"103-104","委員","陳明汝","女","食品微生物"
"103-104","委員","彭和珍","男","小兒科、食物過敏(原)、腸道免疫學、口服免疫耐受性、口服疫苗"
"103-104","委員","黃惠宇","女","營養與基因調控、代謝症候群、分子生物技術、免疫學"
"103-104","委員","黃慶璨","男","應用微生物、異源基因表現、生化工程、生物膜應用與防治"
"103-104","委員","廖俊旺","男","毒性病理學、實驗動物學、農藥毒理學、獸醫病理學"
"103-104","委員","劉秉慧","女","食品毒理、生物技術"
"103-104","委員","劉奕方","男","微量礦物質、營養基因體學、細胞與分子營養學、非編譯 RNA 生成與調控、生化與分生技術"
"103-104","委員","蔡肇基","男","過敏免疫疾病相關之研究"
"103-104","委員","鄭石通","男","植物生理學、分子生物、生物化學"
"101-102","召集人","潘子明","男","生物技術、微生物學、發酵化學、環境化學"
"101-102","委員","蕭錫延 ","男","營養化學、腸道營養生理 "
"101-102","委員","蘇正德 ","男","食品化學、食品分析、食品安全 "
"101-102","委員","蔡肇基 ","男","臨床免疫學、風濕病學、過敏病學、臨床醫學 "
"101-102","委員","朱文深 ","男","應用微生物、基因工程、酵素生物技術 "
"101-102","委員","徐源泰 ","男","生物技術、園產品育種、基因轉殖 "
"101-102","委員","翁祖輝 ","男","毒理學、生物化學、基礎醫學 "
"101-102","委員","郭敏玲 ","女","微生物免疫醫學 "
"101-102","委員","鄭幼文 ","女","毒理學 "
"101-102","委員","陳明汝 ","女","動物產品化學、動物產品最佳化製作、益生菌鑑別 "
"101-102","委員","李國欽 ","男","植物病理學、毒物學、藥物毒物風險評估、基因轉殖植物生物安全性評估 "
"101-102","委員","彭和珍 ","男","過敏反應、免疫耐受 "
"101-102","委員","孫光蕙 ","女","免疫學、血液學、分子生物學 "
"101-102","委員","王淑珍 ","女","植物學、植物分子生物學、植物基因工程 "
"101-102","委員","黃惠宇 ","女","分子生物技術、保健營養相關研究、代謝症候群相關研究、基因轉殖技術、基因調控 "
"101-102","委員","顏國欽 ","男","食品機能化學、保健食品生技、食品衛生安全、食品科技"
"101-102","委員","許輔 ","男","儀器與免疫分析、植物化學、食品機能性評估、食品科學、園藝學"
"101-102","委員","廖俊旺 ","男","毒物病理學、實驗動物學、農藥毒理學、獸醫病理學 "
"101-102","委員","陳小玲 ","女","食品生物技術、機能性食品開發 "
"101-102","委員","方繼 ","男","食品微生物、發酵生物技術、食品安全系統、食品科技 "
"101-102","委員","鄭登貴 ","男","動物生殖生理學、生殖技術學、基因轉植與複製 "
"99-100","召集人","潘子明","男","生物技術、微生物學、發酵化學、環境化學"
"99-100","委員","蕭錫延","男","營養化學、腸道營養生理"
"99-100","委員","蘇正德","男","食品化學、食品分析、食品安全"
"99-100","委員","蔡肇基","男","臨床免疫學、風濕病學、過敏病學、臨床醫學"
"99-100","委員","朱文深","男","應用微生物、基因工程、酵素生物技術"
"99-100","委員","徐源泰","男","生物技術、園產品育種、基因轉殖"
"99-100","委員","蕭寧馨","女","營養生化、臨床營養"
"99-100","委員","翁祖輝","男","毒理學、生物化學、基礎醫學"
"99-100","委員","曾浩洋","男","食品生物技術、食品安全評估、微生物與基因轉殖"
"99-100","委員","郭敏玲","女","微生物免疫醫學"
"99-100","委員","鄭幼文","女","毒理學"
"99-100","委員","陳明汝","女","動物產品化學、動物產品最佳化製作、益生菌鑑別"
"99-100","委員","李國欽","男","植物病理學、毒物學、藥物毒物風險評估、基因轉殖植物生物安全性評估"
"99-100","委員","彭和珍","男","過敏反應、免疫耐受"
"99-100","委員","孫光蕙","女","免疫學、血液學、分子生物學"
"99-100","委員","王淑珍","女","植物學、植物分子生物學、植物基因工程"
"99-100","委員","黃惠宇","女","分子生物技術、保健營養相關研究、代謝症候群相關研究、基因轉殖技術、基因調控"
"99-100","委員","顏國欽","男","食品機能化學、保健食品生技、食品衛生安全、食品科技"
"99-100","委員","許輔","男","儀器與免疫分析、植物化學、食品機能性評估、食品科學、園藝學"
"99-100","委員","廖俊旺","男","毒物病理學、實驗動物學、農藥毒理學、獸醫病理學"
