年份,職稱,姓名,性別,專長
"104-105","召集人","孫璐西","女","食品化學"
"104-105","副召集人","陳陸宏","男","食品科技、食品衛生管理"
"104-105","委員","王渭賢","男","動物用藥"
"104-105","委員","何素鵬","女","毒理學、藥理學"
"104-105","委員","呂蕙如","女","營養教育、公衛營養、營養調查"
"104-105","委員","李宏昌","男","小兒胃腸肝膽科"
"104-105","委員","李俊璋","男","環境毒物健康風險評估與管理、空氣污染及其控制、環境微量毒物採樣分析與暴露評估、一般及作業環境空氣污染物採樣分析、職業與環境衛生"
"104-105","委員","李哲瑜","女","食品加工、餐飲衛生安全與法規、餐旅管理"
"104-105","委員","李蕙蓉","女","臨床營養、素食營養"
"104-105","委員","林薇","女","營養教育、飲食行為、飲食教養"
"104-105","委員","翁祖輝","男","毒理學、生物化學"
"104-105","委員","翁義銘","男","食品包裝、食品安全、食品化學、微生物學"
"104-105","委員","張美惠","女","小兒胃腸肝膽科"
"104-105","委員","郭素娥","女","臨床營養"
"104-105","委員","黃青真","女","營養學、生化代謝、分子營養學"
"104-105","委員","葉安義","男","奈米食品材料、食品科技、食品工程、食品及營養"
"104-105","委員","詹東榮","男","免疫藥理、免疫毒理"
"104-105","委員","楊振昌","男","臨床毒物學、內科學、藥物流行病學"
"104-105","委員","盧義發","男","營養生化、脂質生化學、食品化學、食品分析與檢驗"
"104-105","委員","顏國欽","男","食品化學"
"104-105","委員","蘇正德","男","食品化學、機能食品"
"102","召集人","孫璐西","女","食品化學"
"102","委員","顏國欽","男","食品化學"
"102","委員","蔣丙煌","男","食品包裝、食品工程"
"102","委員","陳炳輝","男","食品分析、油脂、色素"
"102","委員","蘇正德","男","食品化學、食品儀器分析、機能性食品"
"102","委員","王渭賢","男","動物用藥"
"102","委員","陳陸宏","男","食品科技、食品衛生管理"
"102","委員","潘子明","男","生物技術、微生物學、發酵化學"
"102","委員","丘志威","男","食品衛生安全、HACCP"
"102","委員","李國欽","男","毒物學、農藥化學、環境科學、生物農藥"
"102","委員","楊振昌","男","臨床毒物學、內科學、藥物流行病學"
"102","委員","徐源泰","男","食品與農業生物技術、農產品分子鑑別"
"102","委員","柯文慶","男","發酵產品製程開發、機能性食品製程開發"
"102","委員","李俊璋","男","環境毒物健康風險評估與管理"
"102","委員","孫寶年","女","食品化學、水產加工化學、水產酵素"
"102","委員","林薇","女","營養教育、飲食行為、飲食教養"
"102","委員","李蕙蓉","女","臨床營養、素食營養"
"102","委員","潘文涵","女","營養調查、營養流行病學"
"102","委員","蕭寧馨","女","營養學、食品科技"
"102","委員","郭素娥","女","臨床營養"
"102","委員","張美惠","女","小兒肝病學、小兒胃腸學、肝癌、肝炎"
"102","委員","李宏昌","男","小兒消化、一般兒科"
"102","委員","王果行","女","礦物質營養 、膳食療養 、臨床營養"
"99","召集人","孫璐西","女","食品化學"
"99","委員","顏國欽","男","食品化學"
"99","委員","高美丁","女","營養學、膳食療養、公衛營養"
"99","委員","蔣丙煌","男","食品包裝、食品工程"
"99","委員","宋鴻樟","男","環境流行病學、公共衛生、風險評估"
"99","委員","陳炳輝","男","食品分析、油脂、色素"
"99","委員","蘇正德","男","食品化學、食品儀器分析、機能性食品"
"99","委員","王渭賢","男","動物用藥"
"99","委員","陳陸宏","男","食品科技、食品衛生管理"
"99","委員","潘子明","男","生物技術、微生物學、發酵化學"
"99","委員","陳健生","男","奈米生物感測科技、蛋白質體微陣列晶片"
"99","委員","丘志威","男","食品衛生安全、HACCP"
"99","委員","李國欽","男","毒物學、農藥化學、環境科學、生物農藥"
"99","委員","楊振昌","男","臨床毒物學、內科學、藥物流行病學"
"99","委員","徐源泰","男","食品與農業生物技術、農產品分子鑑別"
"99","委員","林薇","女","營養教育、飲食行為、飲食教養"
"99","委員","曾明淑","女","公共衛生、社區營養、營養教育、營養流行病學"
"99","委員","李蕙蓉","女","臨床營養、素食營養"
"99","委員","潘文涵","女","營養調查、營養流行病學"
"99","委員","蕭寧馨","女","營養學、食品科技"
"99","委員","郭素娥","女","臨床營養"
"99","委員","張美惠","女","小兒肝病學、小兒胃腸學、肝癌、肝炎"
"99","委員","李宏昌","男","小兒消化、一般兒科"
