黃氏製藥股份有限公司	雲林縣斗南鎮小東里大同路444巷11號		1041217	國內藥廠   	
十全實業股份有限公司	南投縣南投市仁和路27號		1041217	國內藥廠   	
永豐化學工業股份有限公司新莊工廠	新北市新莊區新樹路292號		1041210	國內藥廠   	
澳斯麗國際股份有限公司淡水廠	新北市淡水區北新路三段123之1號		1041029	國內藥廠   	
健康化學製藥股份有限公司	臺中市大甲區幼獅工業區幼四路12號		1040917	國內藥廠   	
永豐化學工業股份有限公司新莊工廠	新北市新莊區新樹路292號		1040605	國內藥廠   	
政德製藥股份有限公司	雲林縣大埤鄉嘉興村豐田路2號		1040428	國內藥廠   	
大豐製藥股份有限公司	彰化縣彰化市延平里岸頭巷11號		1040423	國內藥廠   	
政德製藥股份有限公司	雲林縣大埤鄉嘉興村豐田路2號		1030910	國內藥廠   	
Teika Pharmaceutical. Co., Ltd. 	3-27, Arakawa 1-chome, Toyama-shi, Toyama 930-0982, Japan 	1030310~14	1030516	國外藥廠	
