年份,職稱,姓名,性別,專長
"106-107","召集人","李明鑫","男","實驗室認證及管理"
"106-107","副召集人","王淑芬","女","實驗室認證及管理"
"106-107","外聘委員","陳玉盆","女","實驗室認證、藥品及化妝品分析檢驗"
"106-107","內聘委員","黃守潔","女","實驗室認證、醫材及化粧品分析檢驗"
"106-107","外聘委員","鄭秋真","女","食品化學"
"106-107","外聘委員","曾木全","男","中、西藥檢驗"
"106-107","外聘委員","何國榮","男","食品化學、實驗室品管"
"106-107","外聘委員","蔡瑞瑩","女","界面科學、生物輸送、生醫材料"
"106-107","外聘委員","曾厚","男","生化、分子生物"
"106-107","外聘委員","蔡宗佑","男","微生物"
"106-107","外聘委員","張永勳","男","生藥學、中藥品質管制、中藥藥理"
"106-107","外聘委員","陳立耿","男","生藥學、中藥品質管制、天然物化學"
"106-107","外聘委員","温國慶","男","藥物化粧品檢驗研究、中西藥檢驗"
"106-107","外聘委員","林澄琴","女","化粧品檢驗分析"
"106-107","外聘委員","張立乾","男","蛋白藥物之修飾及新醫藥用途之開發"
