衛評餐服字第101號	嘉義市	餐飲服務業	劍湖山世界股份有限公司嘉義分公司(紅檜軒中餐廳)	陳志鴻	嘉義市 600 東區仁義里忠孝路600號	05-2771999	展延(有效)	2016-02-06	360 餐食份/日	陳O華	主廚暨衛生管理人員 陳O華餐飲部協理 謝O澤副廚 許O賢						
衛評餐服字第126號	臺北市	餐飲服務業	財團法人台北市立華興高級中學中央廚房	梅瑞珊	111 士林區 仰德大道1段101號	02-28316834	展延(有效)	2016-10-05	5000	陳O吟、葉O錡	事務組長 李O育總務主任 應O興						
衛評餐服字第140號	臺北市	餐飲服務業	時代國際飯店股份有限公司(宴會廳)	鄭高輝	110 信義區 忠孝東路5段10號	02-77038888	有效	2015-05-06	1600	林O廷	衛生管理專責人員 林O廷優化管理總監 林O玉宴會廳主廚 許O堂						
衛評餐服字第001號	桃園縣	餐飲服務業	衛生福利部桃園醫院供膳場所	徐永年	330 桃園市 中山路1492號	03-3699721	展延(有效)	2015-10-13	2500餐食份/日	吳O潔	食品衛生管理(專責)人員暨營養師 吳O潔營養科主任  施O梅供膳營養師 戴O婷營養師 黃O茜	鼎正有限公司	陳再昌	新北市板橋區幸福路60巷4-2號	02-2902-1316	中華民國98年10月14日衛署食字0980030008號公告發布中華民國98年10月21日衛署食字0980462198號公告修正中華民國99年1月12 日桃衛食字第0990031477號變更負責人中華民國99年8月16 日桃衛食字第0990069854號變更衛管人員中華民國100年1月19日食研檢字第100003610號展延申請中華民國101年4月18日桃衛食藥字第1010161472號變更	
衛評餐服字第002號	臺東縣	餐飲服務業	台東龍港餐飲有限公司	陳靜敏	950 台東市 富岡里松江路1段178號1樓	089-281756	展延(有效)	2015-10-13	3000餐食份/日	林O珍	總經理-陳O敏主廚-陳O全衛管兼營養師-林O珍					中華民國98年10月14日衛署食字0980030007號公告發布中華民國100年11月7日食研檢字第1000003965號展延申請中華民國102年11月14日食研檢字第1020005505號展延申請中華民國102年11月14日食研檢字第1020005505號展延申請	
衛評餐服字第003號	桃園縣	餐飲服務業	衛生福利部桃園療養院供膳場所	簡以嘉	330 桃園市 龍壽街71號	03-3698553	展延(有效)	2015-11-15	3,000餐食份/日	蘇O	食品衛生管理(專責)人員暨營養師 蘇O院方營養師 王O予營養師助理 郭O芬	鼎正有限公司	陳再昌	台北縣板橋市幸福路60巷4-2號	02-29021316		
衛評餐服字第005號	宜蘭縣	餐飲服務業	田江股份有限公司(蘭城晶英酒店百匯自助餐供膳場所)	江素芬	260 宜蘭市 民權路2段36號	03-9101000	廢止	2014-02-07	400餐食份/日	朱O雯	行政總主廚 林O勇廚務人員 陳O貴					中華民國98年12月9日衛署食字0980036197號公告發布	
衛評餐服字第006號	臺北市	餐飲服務業	豐隆大飯店股份有限公司(台北君悅大飯店漂亮海鮮餐廳供膳場所)	郭令明	110 信義區 松壽路2號	02-27201234	展延(有效)	2015-12-28	280餐食份/日	李O鎮	食品衛生管理(專責)人員暨餐飲部協理 李O鎮漂亮廳經理 黃O翔漂亮廳副主廚 詹O文執行副總主廚 陳O烽					中華民國100年11月16日食研檢字第1000004135號展延申請	
衛評餐服字第141號	臺北市	餐飲服務業	雲朗觀光股份有限公司台北分公司君品酒店(宴會廳)	辜懷如	103 大同區 承德路1段3號	02-21819950	有效	2015-04-23	700	王O東	食品衛生管理專責人員暨餐務組副理 王O東宴會廳副理 李O綺宴會中廚副主廚 羅O濬						
衛評餐服字第007號	高雄市	餐飲服務業	高雄市私立復華高級中學中央廚房	康木村	802 苓雅區 民權一路42號	07-537-3882	廢止	2014-01-16	2,000餐食份/日	鄭O琦	提案人：蕭O祥                                                         同意人：謝O安                                                      小組召集人：謝O安                                                                 食品衛管人員：鄭O琦	健一食品有限公司	謝騏安	高雄市三民區應安街424之4號5樓	07-7021966	中華民國99年2月2日署授食字第0990003808號公告發布	
