分類,標題,內容,附檔連結,發布日期
"食品","洋蔥發芽有毒嗎？","解答： 天氣潮濕，根莖類食材易發芽，但是聽說發芽的洋蔥有毒不能食用，請問這是真的嗎？ (1) 洋蔥的主要食用部位是鱗葉，含有豐富的大蒜素，有很強烈的刺激味道，切洋蔥時，會刺激人的眼睛和鼻子，導致流淚。洋蔥發芽後亦可食用，不會產生任何毒素。 (2) 食藥署提醒，雖然洋蔥發芽沒有毒，但還是建議大家盡量攝取新鮮的食材，單次購買量不宜太多，並注意食材的保存。 參考資料： 行政院農業委員會臺中區農業改良場 http://tdares.coa.gov.tw/view.php?catid=1750 台灣食品科學技術學會 http://www.food.org.tw/TW/QADetail.aspx?PI=T6877gRzp9I%3d&QAID=mjqw1pjh4ek%3d&Keyword=0hB3MIHGVqY%3d&QAType=T6877gRzp9I%3d","","04 27 2017"
"食品","網路流傳空心菜裡藏水蛭，有小孩食用後過世，這是真的嗎？","解答： 網路流傳空心菜因為莖內中空，水蛭容易躲藏，有小孩食用後因水蛭在體內吸血而過世，這是真的嗎？ (1) 根據農委會資料，台灣空心菜9成以上都是採用旱作的方式栽種，不會有水蛭的問題產生；而空心菜從根部到菜梗都是密合中空，水蛭不會鑽洞無法進入。 (2) 若民眾仍有疑慮，食藥署建議飲食儘量以熟食為主，並常洗手保持衛生，飲水務必煮沸後再飲用，蔬菜則用流動的水確實清洗，葉菜類要一片片分開清洗，烹調時務必澈底煮熟。 參考資料： 台灣好食材 https://www.fooding.com.tw/article-content.php?aid=104145","","11 17 2016"
"食品","有關網路最近流傳「核災食品即將入台 政府沒讓你知道的4件事」，是真的嗎?","Q1：沒讓你知道的事情一：中、韓、港、澳等日本鄰近地區對核災食品進口採嚴謹態度 A1：我國對日本食品輻射安全管理亦以嚴謹態度處置，現行國際間多數國家未禁止日本單一縣之全部產品，目前全球僅中國大陸針對日本福島等10縣，以及我國針對福島等5縣所生產之食品採取全面禁止輸入措施，我國對日本食品之管理已屬國際間最嚴格之一。此外，各國皆有逐步縮小日本食品管制範圍之趨勢，其中韓國對於日本食品的邊境管控措施為特定地區之特定食品禁止輸入，其他食品則完全開放，並要求提供證明。 Q2：沒讓你知道的事情二：台灣標準比日本寬鬆，如何防止遭污染低階核污食品入民眾口中 A2：我國的標準沒有比日本寬鬆。由於不同核種之半衰期、危害風險等不同，爰應個別進行風險評估，Codex之說明並未加總計算碘-131及銫134+137之核種數值。我國之食品輻射污染容許量標準，在國際間屬於較嚴格輻射標準。我國自101年4月起，隨日本政府加嚴調整其食品中輻射殘留標準，針對日本輸臺食品要求必需同時符合我國及日本之標準，並於105年1月18日修正加嚴我國之標準。日本所定容許量標準針對銫134+137在乳品及嬰兒食品為50貝克/公斤、其他食品為100貝克/公斤(飲料水為10貝克/公斤)。至於我國容許量標準，除針對銫134+137在乳品及嬰兒食品為50貝克/公斤、其他食品為100貝克/公斤(飲料及包裝水為10貝克/公斤)外，更進一步規定訂定碘131在乳品及嬰兒食品為55貝克/公斤、其他食品為100貝克/公斤。 Q3：沒讓你知道的事情三：食入遭放射性物質污染食品，對幼童及青少年影響最大 A3：受污染且超標的產品不得輸入我國。環境中本來就存在輻射背景值，食品或水中檢測出輻射無須恐慌，只要輻射在標準值以下，而且不是長期食用，並不會對身體健康造成威脅。目前所彙報資訊，顯示日本食品輻射安全情形未有惡化，故維持現行管控措施，未來如有污染擴大或其他食品安全危害增加情事，食藥署將依風險管制原則加強管理。且，日本食品皆由該國官方確認符合其基準值，如有發現超過食品輻射基準值的食品，則對該食品採取限制出貨（流通）措施，另日本於104年10月時曾函知我國表示，依環境省之專家會議報告，調查結果顯示甲狀腺癌由核電廠事故以外原因所引起的可能性極高，且依聯合國原子輻射效應科學委員會(UNSCEAR)及世界衛生組織(WHO)之見解，預期福島核電廠事故所追加被曝引起的健康影響，不會超過來自自然界之影響。 Q4：沒讓你知道的事情四：若開放，來自核災地區食品應清楚標示 A4：政府針對日本食品之管理，與其他輸入食品同樣嚴格執行「管源頭」、「管邊境」、「管市場」措施，確保食用安全： (1)在源頭管理方面：日本出口至我國之日本食品應符合日本國內 輻射標準，且所有日本輸入食品須檢附產地證明文件，其產地需載明至都、道、府、縣產地證明；另，日本輸入特定地區之特定食品應檢附輻射檢測證明，始得申請食品輸入查驗。 (2)在邊境查驗方面：日本食品輸入我國時，食藥署將持續於邊境針對證明文件內容是否符合我國規定、是否為允許輸入之特定品項等管制措施，並且依食品及相關產品查驗辦法規定進行輸入查驗。倘查獲不合格產品，即進行退運或銷燬，並檢討不合格產品情況，適時調整特定品項之管控措施。 (3)在市售管理方面：各縣市衛生局將持續稽查輔導相關業者，確保日本食品均清楚標示原產地。","","11 14 2016"
"藥品","聽說吃抗生素會傷腎，甚至會洗腎，這是真的嗎？","解答： 常聽人說吃抗生素會傷腎，嚴重時甚至要洗腎，這是真的嗎？ (1) 抗生素種類繁多，並不是所有的抗生素都會影響到腎功能，要對腎功能造成傷害至洗腎的地步，可能是使用者本身的腎功能已經有不良狀況，或是同時服用其他會影響到腎臟的藥品。 (2) 醫生在開立抗生素時，會根據使用者的腎功能、正在使用的藥品等狀況來評估用藥，進而調整劑量或是選擇適當的抗生素，因此不須擔心服用抗生素會有造成洗腎的副作用。 (3) 食藥署提醒民眾，抗生素適用於細菌感染治療，須經專業評估並有一定治療時程，應遵照醫囑，按時規律服藥，不得任意增減藥量，也不可輕信偏方，若有任何用藥、病情上的疑問，應詢問醫藥專業人員。 資料來源： Kidney International (2011) 79, 33–45 Antimicrobial and Chemotherapy, Mar. 2003, 1010–1016","","08 21 2017"
"藥品","藥品可以放冰箱保存嗎？","解答： 聽說藥品放冰箱保存，因為低溫的關係可使藥品保存更久，這是真的嗎？ (1) 一般來說，大部份的口服藥錠(膠囊)、口服藥水、眼用藥水、外用藥膏及開封後的胰島素，皆建議室溫(15-30℃)保存即可，不需冰在冰箱保存；除非是強調需要冷藏的藥品，都會在藥品包裝上特別標示「需冷藏保存」或「請於2-8℃」存放，如：眼藥水氯絲菌素(Chloramphenicol)、前列素類(Latanoprost)、抗生素類藥水、未開封的胰島素…等。 (2) 部分藥品經冷藏後反而容易造成藥物溶解度改變，造成藥品沉澱析出影響其均勻性，甚至影響藥效；此外冰箱為相對濕度較高的環境，也易造成藥品潮解變質。 (3) 食藥署提醒，藥品保存的一般原則為「避光、避濕、避熱」，並依藥品說明書上的保存方式為準，最好存放在乾燥陰涼的密閉環境中。而需置於冰箱的藥品，需與食品區隔放置，以避免小孩誤食，並且不要擺在冰箱門邊，以免溫度不穩定而影響藥品安定性。 資料來源： 食藥署食藥闢謠專區 http://www.fda.gov.tw/tc/newsContent.aspx?id=13773&chk=e706f565-38cf-44d2-a907-6fc27d32e8fd","","08 25 2017"
"醫療器材","聽說使用負離子暖宮內褲具有止痛效果，不用吃止痛藥就可以舒緩經痛，這是真的嗎？","解答： 聽說有一種負離子暖宮內褲產品，使用時具有止痛效果，不需要吃止痛藥就可以舒緩經痛，這是真的嗎？ (1) 該內褲產品係為一般商品，依藥事法規定，不得為醫療效能之標示或宣傳。 (2) 關於「使用內褲具有止痛效果」的說法，內容沒有相關科學論述依據，對於沒有根據的說法，應該抱持小心謹慎的態度，不要隨便輕易相信。 (3) 食藥署提醒，民眾如有身體不適，應適時就醫並遵醫囑治療，勿聽信偏方而延誤就醫時機。","","10 19 2017"
"藥品","聽朋友說，吃止痛藥會傷胃，這是真的嗎？","解答： 聽朋友說，吃止痛藥會傷胃，這是真的嗎？ (1) 一般民眾常使用的止痛藥主要分為含乙醯胺酚(acetaminophen)解熱鎮痛劑與非類固醇類的消炎止痛藥(NSAIDs)。 (2) 含乙醯胺酚(acetaminophen)的解熱鎮痛劑，止痛劑量一天不超過4克，和其他止痛藥比起來較不傷胃。 (3) 傳統非類固醇類的消炎止痛藥(NSAIDs)較易出現腸胃及腎臟副作用，因此有胃潰瘍或十二指腸潰瘍病史、腎功能不良者，為使用這類止痛藥的高風險族群。 (4) 若短期止痛使用止痛藥，建議飯後使用，切忌空腹服用，症狀消失即可停藥。如果須長期服用或是高風險群，則可以請醫師考慮換新型選擇性COX-2的NSAIDs(如: 希樂葆、萬克適)或使用胃酸分泌抑制劑(如：H2-blocks、氫離子幫浦抑制劑)合併治療，仍然要遵照醫囑，按時服藥。 資料來源： 行政院衛生福利部食品藥物管理署正確用藥五大核心能力-止痛藥篇 http://www.smjh.hc.edu.tw/school/data/pub/201409031046182.pdf 衛生福利部臺東醫院成功分院藥劑科 http://www.tait.mohw.gov.tw/ck/main_sec.php?index=custom_detail&id=24&no=a11&mid=15&pid=15&sid=08","","10 26 2017"
"醫療器材","朋友推薦使用洗鼻器可以治療鼻咽癌，這是真的嗎？","解答： 聽說使用洗鼻器可以治療鼻咽癌，這是真的嗎？ (1) 洗鼻器為低風險的第一等級醫療器材，是一種用於清潔鼻腔的工具，利用手動擠壓或電動形式將生理食鹽水送入鼻腔，流經鼻前庭、鼻竇、鼻咽部，再由另一側鼻孔或口排出，藉由水流灌注，清潔鼻腔內汙垢、細菌等致病原，恢復鼻腔過濾雜質與有害物質的功能，有助於緩解鼻竇炎、過敏性鼻炎等症狀。 (2) 關於「洗鼻器治療鼻咽癌」的說法，內容沒有相關的資訊來源，也沒有相關科學論述依據，對於沒有根據的偏方，應該抱持小心謹慎的態度，不要隨便輕易相信，應儘早就醫確診原因，妥善解決問題。 (3) 食藥署提醒，洗鼻器應搭配適溫的一般生理食鹽水使用(約30℃至35℃)，切勿使用一般清水、蒸餾水、茶水或是眼鏡用生理食鹽水，或是溫度過高過低，反而刺激鼻腔黏膜細胞，引發不適或過敏。使用完畢後務必洗淨後晾乾，並定期更換洗鼻器以免細菌滋生。至於鼻腔清洗頻率，鼻子原有自清功能，洗鼻器只是輔助的方式，建議使用前諮詢醫師意見，至多早晚共兩次或每晚一次即可。 (4) 食藥署建議，購買洗鼻器時要「認證照」，認清產品包裝上的醫療器材許可證以及購買地點的藥商許可執照，使用時要「看說明」，依照產品說明書的指示使用產品，才能發揮產品的效能。如果使用後有發現醫療器材品質不良之狀況，或因使用醫療器材引起之不良反應，請立即通報食藥署所建置的「藥物食品化粧品上市後品質管理系統（醫療器材不良反應通報系統）」，網址：http://qms.fda.gov.tw/tcbw/，通報專線：02-23960100。 資料來源： 食藥署醫療器材宣導專區 http://www.fda.gov.tw/TC/siteContent.aspx?sid=3742#.VpNEmFJumUm","","11 2 2017"
"食品","聽說服用南極冰洋磷蝦油可以降血脂，幫助減肥，這是真的嗎？","解答： 聽說南極冰洋磷蝦油含有豐富的蝦紅素，服用後可以降血脂，幫助減肥，這是真的嗎？ (1) 由於國人健康意識的提升，對於保健相關議題更加重視，所以有關食品藥品問題的傳言也越來越多，但多數是誇大或未經證實的內容，常常引起許多民眾的恐慌。關於坊間流傳「服用磷蝦油可以降血脂」的訊息，內容沒有相關的資訊來源，而且食品不是藥品，不具有治療、減輕或預防疾病的效果。對於這種沒有根據的傳言，應該抱持小心謹慎的態度，不要隨便輕易相信。 (2) 食藥署提醒，民眾應該保持均衡飲食，養成健康的生活習慣，適當運動並維持理想體重，建立正確的營養攝取觀念，才能維持身體健康。如有身體不適，應適時就醫並遵醫囑治療，勿聽信偏方而延誤就醫時機。","","11 7 2017"
"化粧品","網路流傳，化粧品中含防腐劑會加速皮膚老化，是真的嗎？","網路流傳，化粧品中含防腐劑會加速皮膚老化，引起民眾對化粧品中添加防腐劑之疑慮。 (1)防腐劑是指具有防止或減少化粧品中微生物生長能力的成分，主要目的為保護產品在儲存或是消費者使用的過程中，減少細菌和真菌等微生物的污染，並延長化粧品的保存期。 (2)化粧品中如未添加防腐劑成分，產品在開封後，使用過程中，可能很容易就會被細菌及黴菌入侵繁殖。消費者如果使用到腐敗變質的產品，肌膚又有傷口，可能導致發炎、化膿等嚴重反應，對人體的危險和傷害的風險更高。 (3)衛生福利部參考國際管理規定，已多次公告修訂化粧品防腐劑限量規定，目前可使用之防腐劑有69種，將參考國際規範持續修訂。添加防腐劑於化粧品中有其必要性，防腐劑於限量範圍內並不易造成皮膚負擔，消費者無須過度恐慌。 (4)食藥署提醒消費者使用化粧品時，要避免直接用手挖取化粧品，使用完畢後請用面紙等將瓶口擦拭乾淨，並將化粧品放置於常溫下，避免存放於陽光直射、高溫潮濕、溫度變化劇烈的地方，同時留意化粧品保存期限，如發現化粧品變質、過期就不要使用，才是正確之道。","","11 7 2017"
