標題,發布日期,連結網址
"98公款補助團體、個人情形季報表(第1季)","2009-11-28","http://www.fda.gov.tw/tc/includes/GetFile.ashx?mID=45&id=20652&chk=2E0A73A5-5F01-4DFA-97F9-848D882AD301"
"98公款補助團體、個人情形季報表(第2季)","2009-11-28","http://www.fda.gov.tw/tc/includes/GetFile.ashx?mID=45&id=20653&chk=058FA767-079E-4C6F-9225-8C3A6C1F3F6E"
"98公款補助團體、個人情形季報表(第3季)","2009-11-28","http://www.fda.gov.tw/tc/includes/GetFile.ashx?mID=45&id=20654&chk=D51B7E95-68BF-4940-9418-D41AEDB9B7EE"
"97公款補助團體個人情形第1季報表","2009-11-28","http://www.fda.gov.tw/tc/includes/GetFile.ashx?mID=45&id=20655&chk=386D054D-FD48-469D-BA27-F4227AD7169C"
"97年第2季公款補助團體個人情形季報表","2009-11-28","http://www.fda.gov.tw/tc/includes/GetFile.ashx?mID=45&id=20656&chk=51469199-036C-40D1-A7D1-00B8B185CF17"
"96年第2季公款補助團體個人情形季報表","2009-11-28","http://www.fda.gov.tw/tc/includes/GetFile.ashx?mID=45&id=20657&chk=82CCE048-2109-48A3-80D6-91FC079BF97C"
"96年第3季公款補助團體、個人情形季報表","2009-11-28","http://www.fda.gov.tw/tc/includes/GetFile.ashx?mID=45&id=20658&chk=F9A85E84-78B3-462E-93D0-F5D057B1E744"
"96年第4季公款補助團體、個人情形季報","2009-11-28","http://www.fda.gov.tw/tc/includes/GetFile.ashx?mID=45&id=20659&chk=A2EE71AD-5C3A-4B63-9132-0661F80C5BF2"
"95年度第一季公款補助團體、個人情形季報表","2009-11-28","http://www.fda.gov.tw/tc/includes/GetFile.ashx?mID=45&id=20660&chk=D4EA9E47-EE2D-4B91-A452-C26677B4D5C2"
"95年度第二季公款補助團體、個人情形季報表","2009-11-28","http://www.fda.gov.tw/tc/includes/GetFile.ashx?mID=45&id=20661&chk=C1BF7B79-AE33-4211-B83D-AE914C14AAA4"
"95年度第3季公款補助團體、個人情形季報表","2009-11-28","http://www.fda.gov.tw/tc/includes/GetFile.ashx?mID=45&id=20662&chk=4776B411-0388-4CBE-9DDB-04324159F796"
"95年度第4季公款補助團體、個人情形季報表","2009-11-28","http://www.fda.gov.tw/tc/includes/GetFile.ashx?mID=45&id=20663&chk=C76F2BEB-4D69-4E0B-A25D-EE07A56FBBE4"
"99年第1季公款補(捐)助團體、縣市政府及個人情形季報表.xls","2010-11-12","http://www.fda.gov.tw/tc/includes/GetFile.ashx?mID=45&id=20664&chk=B86CC910-2855-4DAF-8B5F-7C944CD7A508"
"99年第2季公款補(捐)助團體、縣市政府及個人情形季報表.xls","2010-11-12","http://www.fda.gov.tw/tc/includes/GetFile.ashx?mID=45&id=20665&chk=8AE45BF2-6FD4-488B-82F4-EB996A4EBEDB"
"99年第3季公款補(捐)助團體、縣市政府及個人情形季報表.xls","2010-11-12","http://www.fda.gov.tw/tc/includes/GetFile.ashx?mID=45&id=20666&chk=E83B4996-7981-45E3-BAAB-9BCB035E0680"
"100年食品藥物管理局公款補(捐)助團體 ˋ縣市政府及個人情形第一季季報表","2011-04-11","http://www.fda.gov.tw/tc/includes/GetFile.ashx?mID=45&id=20667&chk=B198D1E5-ED55-438C-BA70-7C9309922F2C"
"100年食品藥物管理局[公款補(捐)助團體、縣市政府及個人情形第二季季報表","2011-07-12","http://www.fda.gov.tw/tc/includes/GetFile.ashx?mID=45&id=20668&chk=750FA3BB-F3AA-4846-BAF9-DE262B6E1116"
"100年食品藥物管理局公款補(捐)助團體、縣市政府及個人情形第3季季報表","2011-10-12","http://www.fda.gov.tw/tc/includes/GetFile.ashx?mID=45&id=20669&chk=FA7264CF-4472-4D6A-93FA-D7160EF038CB"
"100年食品藥物管理局公款補(捐)助團體、縣市政府及個人情形第4季季報表","2012-04-12","http://www.fda.gov.tw/tc/includes/GetFile.ashx?mID=45&id=20670&chk=F9F07B0E-8FE6-492C-8D71-47E3887A1256"
"101年食品藥物管理局公款補(捐)助團體、縣市政府及個人情形第1季季報表","2012-04-30","http://www.fda.gov.tw/tc/includes/GetFile.ashx?mID=45&id=20671&chk=F013F777-165B-493B-B48C-9BB9567847CF"
"101年食品藥物管理局公款補(捐)助團體、縣市政府及個人情形第2季季報表","2012-07-30","http://www.fda.gov.tw/tc/includes/GetFile.ashx?mID=45&id=20672&chk=039E96EE-5D7E-4EE9-B3EB-5F3FA7F7237D"
"101年食品藥物管理局公款補(捐)助團體、縣市政府及個人情形第3季季報表","2012-11-01","http://www.fda.gov.tw/tc/includes/GetFile.ashx?mID=45&id=20996&chk=DDADA2CF-1ED7-40E4-BF79-00CCBEFA03C6"
"101年食品藥物管理局公款補(捐)助團體、縣市政府及個人情形第4季季報表","2013-03-01","http://www.fda.gov.tw/tc/includes/GetFile.ashx?mID=45&id=22957&chk=87A27060-CD48-4C2D-80C5-E1885B5223F5"
