標題,發布日期,連結
"99年度管制藥品管理局單位決算(審定本)","2011-08-12","http://www.fda.gov.tw/tc/includes/GetFile.ashx?mID=133&id=47225"
"99年度藥物食品檢驗局單位決算 (審定本)","2011-08-12","http://www.fda.gov.tw/tc/includes/GetFile.ashx?mID=133&id=47226"
"99年度食品藥物管理局單位決算(審定本)","2011-08-18","http://www.fda.gov.tw/tc/includes/GetFile.ashx?mID=133&id=47227"
"100年度藥物食品檢驗局單位決算(審定本)","2012-08-21","http://www.fda.gov.tw/tc/includes/GetFile.ashx?mID=133&id=47228"
"100年度食品藥物管理局單位決算(審定本)","2012-08-21","http://www.fda.gov.tw/tc/includes/GetFile.ashx?mID=133&id=47229"
"100年度管制藥品管理局單位決算(審定本)","2012-08-21","http://www.fda.gov.tw/tc/includes/GetFile.ashx?mID=133&id=47230"
"101年度食品藥物管理局單位決算","2013-05-07","http://www.fda.gov.tw/tc/includes/GetFile.ashx?mID=133&id=47231"
"101年度食品藥物管理局單位決算(審定本)","2013-09-03","http://www.fda.gov.tw/tc/includes/GetFile.ashx?mID=133&id=47232"
"102年度食品藥物管理署單位決算","2014-02-25","http://www.fda.gov.tw/tc/includes/GetFile.ashx?mID=133&id=47234"
"102年度行政院衛生署食品藥物管理局單位決算(審定本)","2014-09-16","http://www.fda.gov.tw/tc/includes/GetFile.ashx?mID=133&id=47235"
"103年度衛生福利部食品藥物管理署單位決算","2015-02-26","http://www.fda.gov.tw/tc/includes/GetFile.ashx?mID=133&id=47236"
"103年度衛生福利部食品藥物管理署單位決算(審定本)XML及PDF","2015-08-14","http://www.fda.gov.tw/tc/includes/GetFile.ashx?mID=133&id=47237"
"99年度管制藥品製藥工廠作業基金附屬單位決算(審定本)","2011-08-12","http://www.fda.gov.tw/tc/includes/GetFile.ashx?mID=133&id=47248"
"101年度管制藥品製藥工廠作業基金附屬單位決算","2013-03-14","http://www.fda.gov.tw/tc/includes/GetFile.ashx?mID=133&id=47249"
"101年度管制藥品製藥工廠作業基金附屬單位決算(審定本)","2013-09-03","http://www.fda.gov.tw/tc/includes/GetFile.ashx?mID=133&id=47250"
"102年度管制藥品製藥工廠作業基金附屬單位決算","2014-02-18","http://www.fda.gov.tw/tc/includes/GetFile.ashx?mID=133&id=47251"
"102年度管制藥品製藥工廠作業基金附屬單位決算(審定本)","2014-09-11","http://www.fda.gov.tw/tc/includes/GetFile.ashx?mID=133&id=47252"
"102年度管制藥品製藥工廠作業基金附屬單位決算(審定本)","2014-09-11","http://www.fda.gov.tw/tc/includes/GetFile.ashx?mID=133&id=47253"
"103年度管制藥品製藥工廠作業基金附屬單位決算","2015-08-11","http://www.fda.gov.tw/tc/includes/GetFile.ashx?mID=133&id=47254"
"103年度管制藥品製藥工廠作業基金附屬單位決算","2015-08-11","http://www.fda.gov.tw/tc/includes/GetFile.ashx?mID=133&id=47255"
"99年度藥害救濟基金附屬單位決算分決算(審定本)","2011-08-15","http://www.fda.gov.tw/tc/includes/GetFile.ashx?mID=133&id=47256"
"100年度藥害救濟基金附屬單位決算分決算(審定本)","2012-08-31","http://www.fda.gov.tw/tc/includes/GetFile.ashx?mID=133&id=47257"
"101年度藥害救濟基金附屬單位決算分決算(審定本)","2013-09-03","http://www.fda.gov.tw/tc/includes/GetFile.ashx?mID=133&id=47258"
