年份,職稱,姓名,性別,專長
"103-104","召集人","陳俊榮","男","食品科學、營養學"
"103-104","副召集人","林敏雄","男","藥物不良反應、一般醫學、臨床藥理學"
"103-104","委員","王莉芳","女","皮膚科"
"103-104","委員","胡幼圃","男","藥物學"
"103-104","委員","胡德民","男","藥物學"
"103-104","委員","陳香吟","女","臨床免疫學、過敏病學"
"103-104","委員","鄒孟婷","女","中西合併醫學"
"103-104","委員","郭孟怡","女","食品分析/儀器分析/食品科學 "
"103-104","委員","黃麗卿","女","家庭醫學、減重醫學、老年醫學"
"103-104","委員","葉松鈴","女","保健營養"
"103-104","委員","張德明","男","風濕病醫學、免疫學"
"103-104","委員","楊榮季","男","中藥"
"103-104","委員","劉玲伶","女","臨床免疫學、過敏病學"
"103-104","委員","歐陽鍾美","女","營養學 "
"103-104","委員","鄧昭芳","男","內科學、臨床毒理學"
"103-104","委員","戴仰霞","女","小兒皮膚病"
"103-104","委員","顧記華","男","抗癌藥理學"
"102","召集人","何橈通","男","醫學、新陳代謝"
"102","副召集人","陳俊榮","男","食品科學、營養學"
"102","委員","劉興華","男","細胞訊息傳遞毒理學、醫學毒理學"
"102","委員","顧記華","男","抗癌藥物研究與開發-基礎與應用、藥理及生物化學領域"
"102","委員","龔瑞林","男","細胞、免疫學與奈米包覆"
"102","委員","楊榮季","男","中藥"
"102","委員","鄒孟婷","女","家庭醫學、老年醫學、肥胖醫學、職業醫學、傳統醫學"
"102","委員"," 劉玲伶","女","臨床免疫學、過敏病學"
"102","委員","王治元","男","醫學、內分泌科"
"102","委員"," 林敏雄","男","藥物不良反應、一般醫學、臨床藥理學"
"102","委員","劉珍芳","女"," 保健營養"
"102","委員","楊曜旭","男","兒科過敏免疫、風濕自體免疫"
"102","委員","鄧昭芳","男"," 內科學、臨床毒理學"
"102","委員","王莉芳","女"," 免疫及過敏性皮膚疾病、異位性皮膚炎"
"102","委員","簡淑真","女"," 藥物動力學、藥物使用評估、藥物經濟學"
"101","委員","王治元","男","醫學/內分泌科"
"101","委員","詹婉卿","女","一般藥理學"
"101","委員","顧記華","男","抗癌藥理學"
"101","委員","龔瑞林","男","細胞、免疫學與奈米包覆"
"101","委員","沈立言","男","食品科學"
"101","委員","陳俊榮","男","營養學"
"101","委員","楊榮季","男","中藥"
"101","委員","林敏雄","男","一般醫學、臨床藥理"
"101","委員","鄒孟婷","女","家庭醫學、老年醫學、肥胖醫學、職業醫學、傳統醫學"
"101","委員","張棋楨","男","過敏病、自體免疫疾病"
"101","委員","劉玲伶","女","臨床免疫學/過敏病學"
"101","委員","何橈通","男","醫學/新陳代謝"
"101","委員","劉興華","男","毒理學"
"101","委員","黃立心","女","醫學/小兒過敏免疫科"
"101","委員","吳明玲","女","毒理學"
"100","委員","劉興華","男","毒理學"
"100","委員","鄭慧文","男","藥理學"
"100","委員","顧記華","男","抗癌藥理學"
"100","委員","龔瑞林","男","細胞、免疫學與奈米包覆"
"100","委員","陳陸宏","男","食品科學"
"100","委員","沈立言","男","食品營養學"
"100","委員","陳俊榮","男","營養學"
"100","委員","楊榮季","男","中藥"
"100","委員","鄒孟婷","女","家庭醫學、老年醫學、肥胖醫學、職業醫學、傳統醫學"
"100","委員","王莉芳","女"," 免疫及過敏性皮膚疾病、異位性皮膚炎"
"100","委員","劉玲伶","女","臨床免疫學/過敏病學"
"100","委員","何橈通","男","醫學/新陳代謝"
"100","委員","王治元","男","醫學/新陳代謝"
"100","委員","詹婉卿","女","一般藥理學"
"100","委員","黃立心","女","醫學/小兒過敏免疫科"
"99","委員","孫璐西","女","食品科學"
"99","委員","龔瑞林","男","細胞、免疫學與奈米包覆"
"99","委員","陳陸宏","男","食品科學"
"99","委員","沈立言","男","食品營養學"
"99","委員","陳俊榮","男","營養學"
"99","委員","楊榮季","男","中藥"
"99","委員","鄒孟婷","女","家庭醫學、老年醫學、肥胖醫學、職業醫學、傳統醫學"
"99","委員","王莉芳","女"," 免疫及過敏性皮膚疾病、異位性皮膚炎"
"99","委員","劉玲伶","女","臨床免疫學/過敏病學"
"99","委員","何橈通","男","醫學、新陳代謝"
"99","委員","王治元","男","醫學、新陳代謝"
"99","委員","鄭慧文","男","藥理學"
"99","委員","劉興華","男","毒理學"
