年份,職稱,姓名,性別,專長
"104","召集人","李安榮","男","藥物合成、藥物鑑定、蛋白質化學"
"104","副召集人","吳秀梅","女","藥物分析技術 、藥學、毒理學"
"104","委員","呂玉玲","女","化學合成，藥物化學"
"104","委員","胡明寬","男","藥物化學、藥物設計"
"104","委員","徐廷光","男","藥品檢驗分析、藥廠 GMP 理論與實務、確效"
"104","委員","陳香惠","女","電腦模擬、藥物設計與合成 、理論計算"
"104","委員","陳繼明","男","藥物作用與代謝、新藥開發與設計、藥物設計原理"
"104","委員","張誌祥","男","藥物化學、藥物設計"
"104","委員","莊聲宏","男","新藥開發、抗癌藥作用機轉、基因治療"
"104","委員","黃麗嬌","女","藥物化學、有機合成、抗癌藥物之探討"
"104","委員","劉景平","男","藥物化學、有機化學"
"104","委員","賴雅韻","女","藥物化學、分子模擬藥物設計、藥物分析"
"104","委員","鍾柄泓","男","藥劑學、藥物分析、GMP 及 cGMP 管理"
