年份,姓名,專長,備註
"104-105","林瑞宜","皮膚科","男性/召集人"
"104-105","黃富源","新生兒疾病、感染疾病","男性"
"104-105","林敏雄","臨床藥理、內科學","男性"
"104-105","江翠如","腦神經內科、腦血管疾病、腦瘤、中樞周圍神經病變、癲癇、巴金森氏症","女性"
"104-105","黃以信","肝膽醫學、內科學","男性"
"104-105","朱家瑜","膚癌分子生物學、藥物疹、免疫性皮膚病、接觸性皮膚炎、職業性皮膚病、異位性皮膚炎","男性"
"104-105","鐘文宏","一般皮膚病症、皮膚雷射、藥物過敏疾病、皮膚遺傳疾病","男性"
"104-105","廖麗瑛","肝癌早期診斷與肝癌內科治療、BC 肝炎治療、其他胃腸肝膽疾病","女性"
"104-105","劉玲伶","痛風與各式關節炎、過敏與自體免疫疾病","女性"
"104-105","馬文雅","糖尿病、甲狀腺疾病、血脂異常、各種內分泌疾病","女性"
"104-105","陳宜君","一般內科學、感染症學、臨床及分子黴菌學、院內感染症、血液腫瘤病人相關的感染疾病、不明熱、老人感染症、旅遊醫學","女性"
"104-105","黃鈺生","消費者保護","男性"
"104-105","邱惠美","費者保護、民法、行政法、仲裁、科技法律","女性"
"104-105","李兆環","民法、刑法、家庭法","女性"
"104-105","楊哲銘","醫事法規、核子醫學、醫務管理","男性"
"104-105","楊秀儀","醫療法律、生命倫理","女性"
"104-105","陳立愷","醫療法律學、病人就醫安全、一般牙醫學、口腔顎面外科","男性"
