年份,職稱,姓名,性別,專長
"104-105","召集人","曾春典","男","心臟內科學、循環學、心電生理學、老年醫學"
"104-105","副召集人","徐善慧","女","醫學工程、生醫材料與組織工程、奈米生醫材料、生物流變學"
"104-105","委員","江千代","女","婦產專科醫療、更年期保健"
"104-105","委員","呂大文","男","青光眼學、眼科藥理學、白內障、青 光眼、近視雷射等眼科手術"
"104-105","委員","李兆環","女","民法、刑法、家庭法"
"104-105","委員","林俊彬","男","牙髓病學、醫學工程、生物材料及力學、電子顯微鏡學"
"104-105","委員","張中興","女","皮膚科學、免疫學、小兒皮膚學"
"104-105","委員","張至宏","男","臨床醫學、骨科學、醫學工程、組織工程"
"104-105","委員","張承仁","男","一般整形外科、生醫光學"
"104-105","委員","許朝淵","男","臨床工程、醫工部管理"
"104-105","委員","黃義侑","男","藥物控制釋放、蛋白質晶片、生醫材料、藥劑學、生物感測器"
"104-105","委員","曾嶔元","男","分子醫學、病理學"
"104-105","委員","楊哲銘","男","醫事法規、醫務管理倫理、醫務管理、核子醫學"
"104-105","委員","廖朝崧","男","內科學、心臟內科學、介入性心血管疾病診斷及治療"
"104-105","委員","閻紫宸","女","核子醫學、放射免疫分析、分子醫學、生物化學"
